Name,STN,pVal
AT5G09590.1,-0.7742,0.0556
AT2G41680.1,-0.7675,0.0565
sum140,-0.7675,0.0565
AT1G23740.1,-0.7672,0.0566
AT4G36810.1,-0.7657,0.0568
AT4G35450.1,-0.7657,0.0568
AT3G07770.1,-0.7653,0.0569
AT3G59760.1,-0.7651,0.0569
AT4G39800.1,-0.7625,0.0573
AT1G01470.1,-0.7623,0.0584
AT4G31700.1,-0.7615,0.0586
sum119,-0.7609,0.0587
AT3G56150.1,0.7589,0.0588
AT1G68680.1,0.758,0.059
sum145,0.758,0.059
AT1G37130.1,0.758,0.059
AT2G31660.1,0.758,0.059
AT1G54520.1,0.758,0.059
AT4G26670.1,0.758,0.059
AT2G38550.1,-0.758,0.0656
AT1G07140.1,-0.758,0.0656
AT3G07460.1,-0.758,0.0656
AT3G26900.1,-0.758,0.0656
AT4G33500.1,-0.758,0.0656
AT4G09020.1,-0.758,0.0656
AT3G46100.1,-0.758,0.0656
AT5G19860.1,-0.758,0.0656
AT1G48860.1,-0.758,0.0656
AT5G34850.1,-0.758,0.0656
AT5G66420.1,-0.758,0.0656
AT4G39660.1,-0.758,0.0656
AT4G37550.1,-0.758,0.0656
AT1G79210.1,0.7515,0.0661
AT3G52930.1,-0.7474,0.0667
sum37,0.7466,0.0668
AT2G46520.1,0.7446,0.0669
AT4G08870.1,-0.7442,0.0675
AT1G57720.1,-0.7433,0.0675
AT2G29630.1,0.7422,0.0676
AT3G61440.1,-0.7422,0.0678
ATCG00580.1,-0.7419,0.0678
AT5G55220.1,-0.7418,0.0678
AT4G29010.1,-0.7407,0.0683
AT4G24620.1,-0.7391,0.0684
AT3G02520.1,0.7394,0.0684
AT3G24503.1,-0.7383,0.0689
AT5G67030.1,-0.7383,0.0689
AT5G66140.1,0.7363,0.0692
AT4G35460.1,0.7363,0.0692
ATMG00160.1,-0.7363,0.0704
AT2G38750.1,-0.7363,0.0704
AT2G22360.1,-0.7363,0.0704
AT4G29840.1,-0.7359,0.0705
AT5G28500.1,-0.7359,0.0705
AT1G09795.1,-0.7352,0.0705
AT4G02450.1,-0.7344,0.0708
AT4G16390.1,-0.7341,0.0712
AT5G13980.1,-0.7341,0.0712
AT4G23600.1,-0.7279,0.0718
AT1G72150.1,-0.7271,0.0719
AT3G61220.1,-0.7243,0.0722
AT2G43710.1,-0.7161,0.0731
AT3G27280.1,-0.7136,0.0735
AT1G56340.1,-0.7135,0.0736
AT5G61410.1,0.7134,0.0736
AT3G62360.1,0.7133,0.0736
AT5G28050.1,-0.7133,0.0739
sum67,-0.7133,0.0739
AT3G44620.1,-0.7133,0.0739
AT5G25980.2,-0.7124,0.074
AT2G24270.1,-0.707,0.0748
sum26,-0.7067,0.0748
AT4G36130.1,0.7064,0.0749
AT5G38430.1,0.7056,0.0751
AT4G22890.1,0.7048,0.0752
AT5G56680.1,0.7046,0.0752
AT1G31190.1,-0.7046,0.0756
AT2G44350.1,-0.7044,0.0757
AT1G13280.1,-0.702,0.0761
AT2G47470.1,-0.6997,0.0764
AT4G38740.1,-0.6953,0.0769
AT1G65980.1,-0.6947,0.0771
AT3G22630.1,-0.6893,0.0776
AT1G26630.1,-0.6887,0.0777
AT1G11750.1,-0.6883,0.0778
AT3G46970.1,-0.6872,0.0779
sum50,-0.6866,0.078
AT1G02930.1,-0.6859,0.0782
AT3G06350.1,-0.6859,0.0785
AT3G55260.1,-0.6859,0.0785
AT3G52880.1,-0.6846,0.0787
AT5G64040.1,-0.6846,0.0787
AT2G21530.1,0.6844,0.0787
ATCG00540.1,0.681,0.0794
AT1G80300.1,0.6804,0.0794
AT2G17420.1,0.6804,0.0794
AT4G29670.1,0.6783,0.0796
AT1G79550.1,-0.6775,0.0798
AT1G06690.1,-0.6768,0.0802
AT3G11830.1,-0.6736,0.0807
AT3G13860.1,-0.6729,0.0815
AT2G21660.1,0.6717,0.0818
AT1G69620.1,-0.671,0.0818
sum106,-0.6699,0.0821
AT3G15980.1,0.6689,0.0824
AT4G38970.1,-0.6671,0.0825
AT4G00630.1,0.6659,0.0826
AT1G78900.1,-0.6627,0.083
sum126,-0.6618,0.0831
AT4G35100.1,0.6616,0.0832
sum73,0.6601,0.0834
AT2G27020.1,-0.6601,0.0857
AT4G24280.1,-0.6594,0.0857
sum108,-0.6591,0.0859
sum60,0.6578,0.0861
AT4G23100.1,-0.6565,0.0863
AT5G10360.1,0.6563,0.0863
AT2G32730.1,0.6562,0.0863
sum117,0.6562,0.0863
AT3G18890.1,0.6548,0.0866
AT4G00570.1,-0.6546,0.0869
AT3G02090.1,-0.6508,0.0873
AT3G19760.1,-0.6505,0.0874
sum57,0.6491,0.0875
sum94,0.6479,0.0877
AT1G21880.2,0.6456,0.088
