Name,STN,pVal
AT3G48170.1,0.5889,0.1066
AT3G25800.1,0.5844,0.1076
AT3G13860.1,0.5839,0.1076
AT2G15620.1,0.5821,0.1084
sum64,0.5815,0.1086
AT2G29450.1,0.5807,0.1088
AT2G36830.1,-0.5798,0.1089
AT5G14200.1,0.5796,0.109
AT1G77590.1,0.5784,0.1091
AT4G30920.1,0.578,0.1097
AT5G65430.1,-0.5772,0.1097
sum132,-0.5769,0.1097
AT3G26060.1,-0.5739,0.1103
sum7,-0.5722,0.1107
sum36,0.5724,0.1108
AT2G05710.1,0.5717,0.1109
AT3G13120.1,0.5712,0.1109
AT2G22990.1,0.5712,0.1109
AT4G36530.1,0.5712,0.1109
ATCG00430.1,-0.5712,0.1115
AT5G57655.2,0.5706,0.1116
AT3G08770.1,0.5706,0.1116
AT1G75270.1,0.5706,0.1116
AT5G09900.1,0.5706,0.1116
AT2G22360.1,0.5706,0.1116
AT1G02080.1,-0.5706,0.1126
sum89,-0.5706,0.1126
sum203,-0.5659,0.1134
AT2G30110.1,0.5659,0.1135
AT2G01250.1,-0.5639,0.1138
AT5G10160.1,-0.5639,0.1138
AT4G36760.1,0.5634,0.1139
AT2G46910.1,0.5634,0.1139
AT2G42690.1,0.5634,0.1139
AT5G44130.1,-0.5634,0.1144
AT3G20320.1,-0.5634,0.1144
AT2G30930.1,-0.5634,0.1144
sum213,0.5633,0.1145
AT4G01800.1,0.5613,0.1152
AT1G72640.1,-0.561,0.1158
AT1G74040.1,0.5601,0.1161
AT3G28715.1,-0.5601,0.1161
AT1G80380.2,0.5599,0.1162
AT3G53900.1,0.5598,0.1162
AT3G48690.1,0.5598,0.1162
AT5G14040.1,-0.5588,0.1164
AT3G61440.1,0.5575,0.1167
sum27,0.5572,0.1168
AT5G65010.1,0.5547,0.1171
AT1G12840.1,0.5517,0.1176
AT1G70310.1,0.5514,0.1177
AT5G14260.1,0.5507,0.1177
AT1G66200.1,0.5506,0.1179
AT1G09310.1,0.5503,0.118
AT1G15290.1,-0.5474,0.1189
AT2G45790.1,0.5441,0.1195
AT2G02740.1,0.5441,0.1195
AT2G04039.1,-0.5441,0.1198
AT1G29900.1,0.5432,0.12
AT4G17600.1,-0.5429,0.1202
AT4G00630.1,-0.542,0.1204
AT3G17390.1,0.5415,0.1205
AT1G18500.1,0.5416,0.1205
AT1G47420.1,-0.5405,0.121
AT4G27520.1,0.5401,0.1211
AT5G13450.1,0.5401,0.1212
AT5G42980.1,-0.5401,0.1212
sum133,-0.5401,0.1213
AT2G23350.1,0.5397,0.1214
AT1G67090.1,-0.538,0.1216
AT2G16600.1,0.5383,0.1217
AT3G10850.1,0.538,0.1217
AT3G62410.1,0.538,0.1217
AT1G07140.1,0.538,0.1217
AT1G20225.1,0.538,0.1217
AT2G47710.1,0.538,0.1217
AT3G13460.1,-0.538,0.1282
AT5G05000.1,-0.538,0.1282
