protID	matched	geneID	cov1	cov4	cov9	cov14	rpkm1	rpkm4	rpkm9	rpkm14	nsaf1	nsaf4	nsaf9	nsaf14	nadjspc1	nadjspc4	nadjspc9	nadjspc14
GRMZM2G050982	x	GRMZM2G050982	581.8333333	335.3165066	167.4315262	276.3001712	29.90004865	17.23170414	8.604200708	14.19889183	0	0	1.24859E-05	0	0	0	1.03829E-05	0
GRMZM2G051004	x	GRMZM2G051004	602.9285714	198.7907058	56.01345602	47.30258932	22.95056398	7.566997199	2.13216037	1.800579959	7.1946E-05	7.5315E-05	6.10421E-06	0	0.000136142	0.000144234	1.24595E-05	0
GRMZM2G051050	x	GRMZM2G051050	354.1166667	126.0531103	44.72378741	50.08137961	8.102065301	2.884051013	1.023264591	1.145844424	1.10878E-05	0	0	0	2.9217E-05	0	0	0
GRMZM2G051129	x	GRMZM2G051129	943	1120.768289	1108.440192	686.5506655	31.76041943	37.74768925	37.33247658	23.12315705	0	0	1.43601E-05	0	0	0	2.21966E-05	0
GRMZM2G051208	x	GRMZM2G051208	724.5	191.9358539	53.49111097	92.83685753	42.61870516	11.29062466	3.146614061	5.461127204	0.000151247	8.46113E-05	0	0	0.000104766	6.25156E-05	0	0
GRMZM2G051219	x	GRMZM2G051219	432	172.5137734	29.74627634	49.51299069	29.35873204	11.72404085	2.021557769	3.364904227	1.69578E-05	0	0	0	1.9478E-05	0	0	0
GRMZM2G051276	x	GRMZM2G051276	240.2	677.4878651	2047.791938	1703.830005	10.85046856	30.60391665	92.5041717	76.96650248	0.00014563	0.000264804	0.000212131	0.000482417	0.000182264	0.000337143	0.00027854	0.000564358
GRMZM2G051403	x	GRMZM2G051403	1349	2114.721818	666.9428275	922.1794515	55.80164747	87.47587946	27.58821982	38.14613243	8.60026E-05	0.000242671	0.000137345	9.44032E-05	9.42609E-05	0.000276858	0.000166127	0.000101532
GRMZM2G051613	x	GRMZM2G051613	2162.5	932.8310992	749.1364858	811.659383	143.0030408	61.68679018	49.53932738	53.6738774	4.25996E-05	0	0	0	3.58269E-05	0	0	0
GRMZM2G051630	x	GRMZM2G051630	4030.166667	1634.596565	1791.038954	1750.343165	181.8142033	73.74207984	80.79971561	78.96379339	0.000158443	0.000565126	0.000100726	6.46909E-05	0.000197846	0.000703986	0.000130318	7.9885E-05
GRMZM2G051677	x	GRMZM2G051677	24523	2387.77342	224.9235983	231.6500636	1003.523636	97.71182417	9.204263229	9.479521838	0.005297848	0.004821988	0.001006587	0.000160329	0.007665086	0.007123548	0.001542355	0.000224711
GRMZM2G051771	x	GRMZM2G051771	1168.465476	1141.213157	873.4042266	682.0193427	41.46820492	40.50103493	30.99664148	24.20449593	0.000417597	0.000462031	2.87202E-05	1.57279E-05	0.000316419	0.000363488	2.21966E-05	1.08234E-05
GRMZM2G051782	x	GRMZM2G051782	119.1166667	287.694327	927.9011693	1317.148705	4.658064246	11.25030355	36.28562971	51.50717743	0	2.81187E-05	0	1.05858E-05	0	4.21992E-05	0	1.5977E-05
GRMZM2G051848	x	GRMZM2G051848	9242.1	2703.72497	511.0792976	986.4579233	477.8046656	139.7790984	26.42214139	50.99860402	0.000800014	0.000554678	0.000280474	0.000262765	0.000554441	0.000392291	0.000202925	0.000177758
GRMZM2G051879	x	GRMZM2G051879	2780.333333	2785.354831	1946.03271	1751.522045	165.3939373	165.6926517	115.7638217	104.1929484	0	0	0	3.46013E-05	0	0	0	1.29881E-05
GRMZM2G051926	x	GRMZM2G051926	23.72103175	12.56405498	8.270516834	8.099191305	1.101970845	0.583668638	0.384210456	0.376251454	3.40797E-05	4.51264E-05	1.67877E-05	1.07818E-05	6.44884E-05	8.55139E-05	3.25795E-05	1.99712E-05
GRMZM2G052036	x	GRMZM2G052036	537	1096.776308	239.274872	207.7777288	65.41839512	133.6114448	29.14893504	25.31189117	2.62075E-05	0.000200848	0.000289683	0.000158787	1.9478E-05	0.000150711	0.000234147	0.000119827
GRMZM2G052148	x	GRMZM2G052148	365.0666667	93.30215118	34.44305682	86.82456581	8.488274176	2.169396203	0.800845808	2.018783929	7.58167E-05	0	0	0	0.000270266	0	0	0
