protID	matched	geneID	cov1	cov4	cov9	cov14	rpkm1	rpkm4	rpkm9	rpkm14	groupID	nsaf1	nsaf4	nsaf9	nsaf14	nadjspc1	nadjspc4	nadjspc9	nadjspc14
GRMZM2G078985	x	GRMZM2G078985	7889.166667	1899.746045	335.1239847	615.9651818	375.3778493	90.39263774	15.94567917	29.30850556	342	0.00157866	0.001307629	0.001052589	0.000373986	0.001197503	0.001062766	0.000856755	0.00026968
GRMZM2G079089	x	GRMZM2G079089	4306.901984	609.7499593	356.9165905	465.4849159	210.0190545	29.7334628	17.40445572	22.69861313	3	0.00052605	0.000440216	0.000254269	0.000109917	0.000291168	0.000253191	0.000149224	5.6771E-05
GRMZM2G079196	x	GRMZM2G079196	154.5	292.4736821	137.511295	148.5389721	10.53107378	19.93567589	9.373084749	10.12475647	298	5.381E-05	2.3256E-05	0	0	7.16538E-05	3.01423E-05	0	0
GRMZM2G079668	x	GRMZM2G079668	4312.333333	10267.61612	5112.184615	9346.829556	99.9966327	238.0908335	118.5440011	216.7391548	232	0.000187989	0.000644211	0.000869556	0.000888996	0.000439967	0.001563467	0.002151559	0.001910306
GRMZM2G079777	x	GRMZM2G079777	2437.333333	1217.25033	1542.109589	1537.231	111.8659284	55.86795885	70.77797634	70.55406446	678	0	0.000135014	0	0	0	0.000165782	0	0
GRMZM2G079888	x	GRMZM2G079888	528.5103175	227.5838041	713.1845778	1164.219454	14.58926044	6.282335992	19.68710014	32.13769014	403	5.4239E-05	0	0	2.40287E-05	0.000133217	0	0	5.41172E-05
GRMZM2G080044	x	GRMZM2G080044	1681.05	2445.25897	907.5136628	726.102114	27.39584703	39.85005842	14.78962879	11.83318905	192	1.28125E-05	4.70063E-06	1.22084E-05	0	3.8956E-05	1.56289E-05	4.15317E-05	0
GRMZM2G080048	x	GRMZM2G080048	817.65	759.3462218	491.7703112	593.9348481	38.45226521	35.71036789	23.12686654	27.93143802	447	4.8047E-05	0	0	0	4.8695E-05	0	0	0
GRMZM2G080222	x	GRMZM2G080222	3281.416667	1765.981227	289.1999089	530.0542485	108.3412902	58.30673274	9.548403767	17.5006002	45	0.001896025	0.001423761	0.000688516	0.000248574	0.000914127	0.000710565	0.000353727	0.00011519
GRMZM2G080546	x	GRMZM2G080546	77	1113.3422	1630.583017	2511.561189	3.480581769	50.32569563	73.70620158	113.5284946	517	0	0	4.7449E-05	0.000210962	0	0	7.55419E-05	0.000307947
GRMZM2G080930	x	GRMZM2G080930	523.5099206	304.4592456	162.4692575	258.6632735	20.27570689	11.79180409	6.292486379	10.01811143	670	9.00881E-05	0	0	0	4.8695E-05	0	0	0
GRMZM2G081192	x	GRMZM2G081192	2078.078571	2037.887633	687.0197004	1361.440938	85.96012441	84.29761843	28.41870358	56.31626927	44	0	2.65119E-05	3.79106E-05	6.92027E-06	0	1.80854E-05	2.66359E-05	4.32938E-06
GRMZM2G081541	x	GRMZM2G081541	518.9285714	510.7082297	552.4383014	686.0580617	14.68465015	14.45203077	15.6329091	19.41408351	120	6.50771E-05	0	0	0	0.000130088	0	0	0
GRMZM2G081583	x	GRMZM2G081583	1262.333333	834.7686342	316.7717498	145.5917703	30.30463968	20.04016057	7.604690052	3.495198949	438	0	0	9.02634E-06	0	0	0	2.21966E-05	0
