Accession,STN,pVal
AT4G05180.1,-0.4546,0.238
AT4G34200.1,-0.2486,0.4504
AT2G41680.1,-0.4131,0.2719
AT1G48350.1,-0.3855,0.294
AT3G04790.1,-0.3413,0.3397
AT1G09340.1,-0.5488,0.1791
AT4G20850.1,-0.5642,0.1723
ATCG00480.1,-0.9133,0.0641
AT5G35630.1,-0.7388,0.1045
AT5G14740.2,-0.6294,0.1436
AT1G65260.1,-0.4461,0.2451
AT2G21860.1,-0.3498,0.3301
ATCG00500.1,-0.4591,0.2351
AT3G26650.1,-0.9251,0.0615
AT1G67090.1,-0.7152,0.1122
AT5G42080.1,-0.4668,0.2294
AT2G35490.1,-0.462,0.2331
AT1G06680.1,-0.4392,0.2492
AT4G29670.1,-0.4157,0.2693
AT1G04620.1,-0.5137,0.1972
AT1G63940.1,-0.5236,0.1919
AT4G02520.1,-0.534,0.187
AT3G27925.1,-1.1625,0.0329
AT2G27680.1,-0.6064,0.1528
AT5G04140.1,-1.1509,0.0333
AT5G24300.1,-0.3939,0.2878
AT5G19220.1,-0.948,0.0582
AT1G12900.1,-1.3589,0.0192
AT1G36390.1,-0.4765,0.2226
AT5G26570.1,-0.5439,0.1814
AT1G51100.1,-0.5859,0.1617
AT3G54050.1,-0.7042,0.1176
AT3G54210.1,-0.5594,0.1744
AT3G58610.1,-0.7199,0.1108
AT5G27380.1,-0.7858,0.0932
AT3G02730.1,-1.3785,0.0182
AT4G21280.1,-1.1114,0.0379
AT2G43750.1,-1.1726,0.0311
AT2G20890.1,-0.831,0.0815
AT5G13280.1,0.1735,0.5495
AT1G48860.1,0.1639,0.5611
AT2G35040.1,0.0361,0.7646
AT1G34430.1,-0.0689,0.7106
AT5G03940.1,-0.1613,0.5644
AT4G15110.1,-0.1647,0.5599
AT5G16400.1,-0.8329,0.0813
AT1G22940.1,-1.0236,0.047
AT1G79530.1,0.7539,0.1013
AT5G17990.1,0.9284,0.0611
AT1G66670.1,0.8829,0.0692
AT1G69740.1,0.8215,0.0841
AT3G49680.1,0.441,0.248
ATCG00380.1,0.3623,0.3133
AT3G04550.1,0.3304,0.3507
AT1G74040.1,0.3022,0.3815
AT3G62530.1,0.3814,0.2969
AT1G62640.1,0.3246,0.3559
AT4G09650.1,0.2452,0.4545
AT3G15000.1,0.1878,0.5315
ATCG00470.1,0.1895,0.5299
AT3G13490.1,0.1519,0.5782
AT2G20270.1,0.1037,0.651
AT3G56940.1,0.0724,0.7052
AT5G66570.1,-0.0054,0.8069
AT4G32520.1,-0.0115,0.7981
AT5G17710.1,-0.0256,0.7788
AT3G47520.1,-0.0645,0.7171
AT2G38270.1,-0.1055,0.6482
AT3G52180.1,-0.1225,0.6217
AT4G31530.1,-0.1268,0.6142
AT1G24360.1,-0.133,0.6044
ATCG00160.1,-0.1551,0.5734
AT4G03280.1,-0.1512,0.579
AT2G19940.1,-0.3463,0.3343
AT5G61410.1,-0.296,0.3899
AT3G48730.1,-0.3423,0.3386
AT1G14810.1,-0.3023,0.3813
AT1G52510.1,-0.4892,0.2137
ATCG00420.1,-0.6432,0.1389
AT1G48520.1,-0.4213,0.2643
AT1G50200.1,-0.8566,0.0756
AT2G42130.3,-0.4629,0.2328
AT3G63140.1,-0.667,0.1292
AT4G31990.1,-0.7538,0.1014
AT4G09010.1,-0.6011,0.1547
AT2G28190.1,-0.6207,0.1463
AT5G65620.1,-0.6631,0.13
AT4G26900.1,-0.7559,0.101
AT4G29840.1,-1.0884,0.0399
