Accession,STN,pVal
AT4G34200.1,-0.2914,0.3986
AT2G41680.1,-0.4858,0.2191
AT1G48350.1,-0.4273,0.2621
AT3G04790.1,-0.3912,0.2932
AT1G09340.1,-0.598,0.1588
AT4G20850.1,-0.5765,0.1689
ATCG00480.1,-1.0588,0.0447
AT5G35630.1,-0.9342,0.063
AT5G14740.2,-0.7183,0.1124
AT1G65260.1,-0.5308,0.1927
AT2G21860.1,-0.412,0.2731
ATCG00500.1,-0.5522,0.1808
AT3G26650.1,-1.1444,0.0362
AT1G67090.1,-0.7497,0.1032
AT5G42080.1,-0.5376,0.1897
AT2G35490.1,-0.5329,0.1921
AT1G06680.1,-0.4278,0.261
AT4G29670.1,-0.4119,0.2732
AT1G04620.1,-0.579,0.1672
AT1G63940.1,-0.5324,0.1922
AT4G02520.1,-0.5121,0.2021
AT3G27925.1,-1.3221,0.0219
AT2G27680.1,-0.6757,0.1261
AT5G04140.1,-1.1366,0.0369
AT5G24300.1,-0.4667,0.2321
AT5G19220.1,-0.9894,0.0532
AT1G12900.1,-1.5652,0.0115
AT1G36390.1,-0.5143,0.201
AT5G26570.1,-0.6049,0.1558
AT1G51100.1,-0.6553,0.134
AT3G54050.1,-0.7234,0.111
AT3G54210.1,-0.5672,0.1727
AT3G58610.1,-0.7751,0.0967
AT5G27380.1,-0.8564,0.0767
AT3G02730.1,-1.4994,0.0142
AT4G21280.1,-1.1442,0.0362
AT2G43750.1,-1.276,0.0245
AT2G20890.1,-0.921,0.0656
AT5G13280.1,0.1553,0.5805
AT1G48860.1,0.1287,0.6172
AT2G35040.1,0.033,0.7689
AT1G34430.1,-0.0197,0.7886
AT5G03940.1,-0.1999,0.515
AT4G15110.1,-0.2302,0.472
AT5G16400.1,-0.9362,0.0625
AT1G22940.1,-1.0715,0.0433
AT1G79530.1,0.711,0.1144
AT5G17990.1,0.8915,0.0707
AT1G66670.1,0.8746,0.0733
AT1G69740.1,0.7875,0.094
AT3G49680.1,0.4345,0.2544
ATCG00380.1,0.3338,0.3513
AT3G04550.1,0.2889,0.4012
AT1G74040.1,0.2649,0.4311
AT3G62530.1,0.3225,0.3627
AT1G62640.1,0.298,0.3908
AT4G09650.1,0.2148,0.4917
AT3G15000.1,0.151,0.5859
ATCG00470.1,0.154,0.5821
AT3G13490.1,0.0966,0.6672
AT2G20270.1,0.0672,0.713
AT3G56940.1,-0.0362,0.7635
AT5G66570.1,-0.064,0.7168
AT4G32520.1,-0.0736,0.7028
