"Protein","rep1-triple","rep2-triple","rep3-triple","rep1-wt","rep2-wt","rep3-wt","LogFoldChange","Zstatistic","fdr","FDRup","FDRdown"
"AT5G02870.1",9,9,10,5,10,13,-0.013,-0.0502,0.79212,0.924911,1
"AT2G37860.1",0,0,0,1,1,0,-0.043,-0.0502,0.79212,0.924911,1
"AT3G51730.1",1,0,1,0,0,0,0.099,0.1108,0.792147,0.951751,0.981768
"AT2G27860.1",0,11,12,6,9,8,-0.015,-0.0505,0.792181,0.924911,1
"AT5G15910.1",0,0,1,0,1,1,-0.046,-0.0505,0.792181,0.924911,1
"AT1G64770.1",3,5,1,4,4,1,-0.025,-0.0509,0.792261,0.924911,1
"AT1G55890.1",2,0,1,0,0,2,-0.039,-0.051,0.792281,0.924911,1
"AT4G10000.1",2,0,0,2,0,0,-0.038,-0.0517,0.79242,0.924911,1
"AT5G10730.1",0,0,1,0,0,0,-0.046,-0.0517,0.79242,0.924911,1
"AT5G06060.1",1,4,3,1,6,0,-0.027,-0.0527,0.792624,0.924622,1
"AT3G62910.1",0,0,1,0,1,0,-0.047,-0.0534,0.792767,0.924622,1
"AT1G01630.1",0,0,0,0,0,0,-0.048,-0.0539,0.79287,0.924621,1
"AT1G02560.1",11,21,29,14,20,28,0.021,0.1148,0.792936,0.952559,0.981131
"AT5G51300.1",1,1,0,0,0,0,-0.045,-0.0549,0.793079,0.924335,1
"sum143",0,2,4,0,3,3,-0.027,-0.055,0.7931,0.924335,1
"AT5G39830.1",1,0,0,0,1,0,-0.048,-0.0553,0.793163,0.924335,1
"AT5G04590.1",16,25,23,28,17,18,-0.01,-0.0562,0.793352,0.924335,1
"AT5G44520.1",1,0,0,0,0,0,-0.048,-0.0563,0.793373,0.924335,1
"AT5G13560.1",0,0,0,0,0,0,-0.048,-0.0564,0.793394,0.92405,1
"AT5G35790.1",4,7,2,7,4,2,-0.022,-0.0566,0.793438,0.92405,1
"AT1G09620.1",31,32,9,44,28,1,0.02,0.1176,0.793508,0.95337,0.980503
"AT3G57090.1",0,1,1,0,0,0,-0.05,-0.0571,0.793546,0.92405,1
"AT4G00165.1",0,0,2,2,1,0,-0.042,-0.0575,0.793632,0.92405,1
"AT3G60210.1",1,0,0,1,0,0,-0.05,-0.0578,0.793697,0.92405,1
"AT1G12310.1",0,0,0,1,0,0,-0.054,-0.0584,0.793826,0.92405,1
"AT5G01500.1",0,0,0,0,0,0,-0.049,-0.0588,0.793914,0.923768,1
"AT3G27310.1",1,0,0,1,0,0,-0.053,-0.0592,0.794003,0.923768,1
"AT3G15610.1",0,0,1,0,0,0,-0.052,-0.0601,0.794202,0.923768,1
"AT5G65810.1",0,0,0,0,0,0,-0.053,-0.0609,0.794379,0.923488,1
"ATCG00720.1",31,73,54,50,63,47,0.013,0.1222,0.794488,0.954181,0.979884
"AT1G04810.1",0,2,0,3,0,0,0.082,0.1224,0.794531,0.954181,0.979884
"AT4G18930.1",1,2,2,2,2,1,-0.043,-0.0619,0.794606,0.923488,1
"AT2G17870.1",1,1,0,1,0,0,0.113,0.1231,0.794685,0.954181,0.979885
"AT2G18230.1",0,1,2,0,2,0,-0.046,-0.0626,0.794764,0.923488,1
"AT3G27380.1",0,0,0,0,0,0,-0.055,-0.0633,0.794925,0.923211,1
"sum69",2,0,0,2,0,0,-0.049,-0.0643,0.795157,0.923211,1
"AT3G10050.1",0,1,0,1,0,0,-0.058,-0.065,0.795319,0.922936,1
"AT2G11890.1",0,0,0,0,0,0,-0.057,-0.0662,0.795604,0.922935,1
"AT1G70730.1",17,62,49,35,42,51,0.016,0.1273,0.795628,0.954994,0.979274
"AT3G54110.1",0,2,0,0,2,1,-0.051,-0.0672,0.795841,0.922663,1
"AT1G56580.1",0,3,2,3,2,1,-0.04,-0.0676,0.795938,0.922663,1
"AT2G03440.1",0,1,0,0,1,0,-0.06,-0.0677,0.795962,0.922663,1
"AT3G23490.1",8,6,6,12,2,7,0.042,0.1296,0.796161,0.955401,0.978972
"AT3G56090.1",0,2,0,0,2,0,-0.055,-0.0701,0.796548,0.922392,1
"AT5G47930.1",4,3,2,2,4,4,0.062,0.1323,0.7968,0.955809,0.978673
"AT3G59840.1",0,0,0,0,0,0,-0.061,-0.0718,0.79697,0.922124,1
"AT1G26550.1",0,0,0,1,0,0,-0.061,-0.0722,0.797071,0.922124,1
"AT5G44600.1",0,0,0,0,0,0,-0.064,-0.0745,0.797657,0.921859,1
"AT5G62530.1",7,12,2,6,0,2,-0.859,-2.0961,0.797774,0.999986,0.458315
"AT2G20580.1",7,33,1,11,26,5,0.03,0.138,0.798204,0.957033,0.977786
"AT1G66670.1",7,4,9,6,7,8,0.044,0.1383,0.798279,0.957032,0.977786
"AT4G35230.1",1,0,0,1,0,0,-0.066,-0.0771,0.798335,0.921595,1
"AT5G42190.1",0,1,0,0,0,0,-0.068,-0.0778,0.798519,0.921595,1
"AT1G65410.1",1,0,0,0,0,1,-0.069,-0.0779,0.798545,0.921335,1
"AT3G16140.1",6,15,21,19,14,10,0.03,0.1394,0.798559,0.957441,0.977495
"AT5G59870.1",0,4,6,4,2,6,0.056,0.1395,0.798585,0.957441,0.977495
"AT5G51120.1",0,0,0,0,0,0,-0.071,-0.0782,0.798626,0.921335,1
"AT3G48420.1",5,9,5,5,6,9,0.045,0.1405,0.798841,0.957441,0.977495
"AT5G57440.1",0,0,0,0,1,0,-0.068,-0.0796,0.799001,0.921334,1
"AT2G27730.1",0,0,0,0,0,0,-0.071,-0.0809,0.799355,0.921076,1
"AT4G01940.1",0,0,1,0,0,0,-0.075,-0.0819,0.799628,0.921076,1
"AT3G59380.1",0,0,0,0,0,0,-0.075,-0.0823,0.799738,0.920821,1
"AT3G07430.1",0,0,0,0,0,0,-0.072,-0.0825,0.799794,0.920821,1
"ATCG00580.1",4,9,21,4,9,6,-0.598,-2.0934,0.799944,1,0.459285
"AT4G26690.1",9,14,12,10,19,7,0.037,0.1453,0.800101,0.958257,0.97692
"AT4G31040.1",0,0,0,1,0,0,0.134,0.1484,0.800943,0.959075,0.976353
"AT3G20390.1",15,15,20,17,19,15,0.028,0.1493,0.80119,0.959074,0.976353
"AT1G79990.1",0,0,0,0,0,0,-0.08,-0.0905,0.802086,0.920067,1
"AT1G26880.1",0,0,1,0,2,0,0.118,0.1526,0.802114,0.959892,0.975795
"AT5G19820.1",6,22,1,14,13,1,-0.025,-0.0909,0.802205,0.919822,1
"AT4G01050.1",10,12,13,10,13,11,-0.022,-0.091,0.802235,0.919822,1
"sum53",0,6,3,0,4,5,-0.04,-0.0912,0.802295,0.919822,1
"AT1G54780.1",17,20,22,10,25,23,-0.018,-0.0917,0.802445,0.919822,1
"sum25",0,11,3,0,8,7,0.056,0.1541,0.80254,0.960301,0.97552
"AT3G26070.1",9,11,13,15,6,13,0.038,0.1548,0.802741,0.9603,0.97552
"AT1G20630.1",1,0,0,0,0,0,-0.078,-0.0929,0.802804,0.919578,1
"AT4G18440.1",7,13,12,15,5,11,-0.024,-0.0953,0.803536,0.919337,1
"AT5G61780.1",5,17,2,10,15,0,0.044,0.1578,0.803613,0.960708,0.975247
"AT2G36850.1",0,0,0,0,1,0,0.131,0.1582,0.80373,0.961118,0.974976
"AT4G03560.1",0,0,0,0,1,0,-0.087,-0.0961,0.803783,0.919337,1
"AT3G55040.1",10,9,10,13,6,11,0.043,0.1598,0.804205,0.961116,0.974976
"AT2G02050.1",0,0,0,0,0,0,-0.086,-0.0995,0.804849,0.918863,1
"AT4G23650.1",0,1,0,1,0,0,-0.088,-0.1011,0.80536,0.918862,1
"sum21",8,23,24,9,25,21,-0.019,-0.1012,0.805392,0.918862,1
"AT5G15200.1",12,22,25,8,25,25,-0.018,-0.1021,0.805683,0.918629,1
"AT4G09350.1",0,1,0,0,0,0,-0.09,-0.1032,0.806041,0.918629,1
"AT5G63680.1",0,0,0,0,1,0,0.142,0.1665,0.806247,0.96234,0.974177
"AT3G26450.1",3,19,19,15,12,13,-0.024,-0.1041,0.806336,0.918398,1
"AT5G47030.1",5,4,2,4,2,4,-0.047,-0.1052,0.806698,0.918398,1
"AT1G70890.1",3,13,14,8,7,0,-0.637,-2.085,0.806702,1,0.463175
"AT3G01280.1",9,9,9,3,12,14,0.043,0.1692,0.807095,0.963155,0.973655
"AT3G04720.1",0,0,0,0,0,0,-0.092,-0.1069,0.807265,0.91817,1
"ATCG00520.1",0,3,0,0,3,0,-0.072,-0.1072,0.807366,0.91817,1
"AT5G10470.1",5,9,2,5,9,3,0.059,0.1705,0.807509,0.963155,0.973655
"AT3G23400.1",23,14,27,16,17,30,-0.02,-0.1078,0.807566,0.918169,1
"AT1G01080.1",4,5,5,4,7,4,0.066,0.1731,0.808346,0.963561,0.973398
"AT1G73060.1",16,13,15,12,16,15,-0.024,-0.1101,0.808348,0.917721,1
"AT3G14310.1",13,22,10,12,18,16,0.037,0.1737,0.808541,0.963969,0.973142
"AT4G33640.1",0,1,0,0,1,0,-0.094,-0.1109,0.808624,0.917721,1
"ATCG00660.1",0,6,5,3,8,2,0.071,0.174,0.80864,0.963968,0.973142
"AT1G16880.1",18,21,26,20,25,22,0.03,0.1741,0.808672,0.963968,0.973142
"AT5G38660.1",2,9,13,9,6,10,0.05,0.1756,0.809164,0.964375,0.972889
"AT2G44650.1",8,7,5,8,5,8,0.055,0.1761,0.809329,0.964374,0.972889
"AT4G33250.1",0,9,0,0,7,4,0.077,0.1766,0.809495,0.964374,0.972889
"AT3G52150.1",4,9,11,4,13,6,-0.035,-0.1143,0.809808,0.9175,1
"AT2G43945.1",0,2,1,0,2,0,-0.085,-0.1153,0.810163,0.917282,1
"AT2G23600.1",4,8,5,4,4,8,-0.04,-0.1154,0.810199,0.917282,1
"AT1G62390.1",4,11,0,7,9,1,0.064,0.1791,0.810329,0.96478,0.972639
"AT5G64860.1",0,9,1,1,0,0,-1.394,-2.0801,0.810649,1,0.46513
"AT3G54890.1",32,37,24,21,32,38,-0.018,-0.1185,0.811309,0.917066,1
"AT5G47700.1",7,3,7,7,6,2,-0.042,-0.1204,0.812002,0.916853,1
"AT4G25130.1",5,13,2,6,12,3,0.058,0.1845,0.812174,0.965995,0.9719
"AT3G61470.1",36,44,52,39,61,67,0.235,2.1457,0.812497,0.268784,0.996878
"ATCG00380.1",6,13,10,4,16,8,-0.034,-0.124,0.813338,0.916436,1
"ATCG00780.1",12,18,19,14,20,14,-0.025,-0.1256,0.81394,0.916231,1
"AT5G03350.1",0,0,0,0,0,0,-0.108,-0.1257,0.813978,0.916231,1
"AT1G62780.1",10,12,15,7,15,14,-0.029,-0.1267,0.814358,0.91623,1
"AT3G08920.1",0,8,3,6,2,5,0.082,0.1908,0.814396,0.967205,0.971182
"AT1G48600.1",9,10,13,4,8,4,-0.683,-2.0753,0.81452,1,0.468066
"sum210",4,21,9,10,8,15,-0.031,-0.1281,0.814894,0.916028,1
"AT4G27700.1",5,16,17,12,12,13,-0.03,-0.1282,0.814933,0.916028,1
"AT3G58730.1",3,5,9,2,4,12,0.067,0.194,0.815554,0.967606,0.970947
"AT3G25920.1",14,20,17,10,22,18,-0.027,-0.1302,0.815706,0.915828,1
"sum116",0,0,2,0,2,1,0.138,0.1948,0.815846,0.968008,0.970714
"AT3G02630.1",0,2,2,0,2,3,0.115,0.1949,0.815883,0.968008,0.970714
"AT5G58290.1",1,2,2,3,0,0,-0.086,-0.1308,0.81594,0.915828,1
"AT3G13580.1",3,3,5,0,7,4,0.075,0.1963,0.816398,0.968007,0.970715
"AT5G17560.1",4,4,1,5,4,1,0.094,0.1989,0.817362,0.968408,0.970485
"AT3G17020.1",3,8,4,2,8,6,0.072,0.1999,0.817738,0.968808,0.970256
"AT5G67030.1",4,11,9,5,5,2,-0.709,-2.0707,0.818232,1,0.470032
"AT1G04430.1",0,6,1,0,5,3,0.104,0.2022,0.818607,0.969207,0.970031
"sum12",44,100,116,73,85,97,-0.012,-0.1379,0.818768,0.915244,1
"AT3G08740.1",12,21,20,15,17,23,0.039,0.2028,0.818834,0.969207,0.970031
"AT4G34120.1",10,9,9,11,5,11,-0.039,-0.1395,0.819423,0.915055,1
"AT3G26710.1",3,7,6,4,7,4,-0.051,-0.1415,0.820247,0.914868,1
"AT4G10840.1",1,5,3,4,4,2,0.102,0.2067,0.820334,0.970003,0.969586
"AT3G52380.1",8,12,13,7,11,14,-0.036,-0.1425,0.820663,0.914684,1
"AT5G52840.1",6,7,4,5,4,7,-0.05,-0.1426,0.820704,0.914684,1
"sum80",5,5,6,4,5,8,0.074,0.2098,0.821544,0.970797,0.96915
"AT1G17290.1",6,5,3,9,3,3,0.078,0.2109,0.821978,0.970796,0.96915
"ATCG00480.1",413,481,698,560,456,571,-0.005,-0.1459,0.822093,0.914502,1
"AT5G60600.1",17,44,33,24,34,34,-0.022,-0.1463,0.822262,0.914502,1
"AT3G44100.1",4,3,6,4,3,5,-0.057,-0.1467,0.822433,0.914324,1
"AT5G15490.1",1,2,1,2,0,0,-0.1,-0.1472,0.822647,0.914324,1
"AT3G16420.1",5,6,8,7,4,7,-0.049,-0.1482,0.823075,0.914323,1
"AT5G23060.1",20,30,37,29,21,35,-0.023,-0.1487,0.823289,0.914147,1
"AT2G44920.2",9,5,9,10,2,10,-0.044,-0.1495,0.823635,0.914147,1
"sum2",4,7,8,4,10,6,0.068,0.2153,0.823734,0.971586,0.968724
"AT3G24503.1",7,11,6,5,5,2,-0.704,-2.0621,0.825182,1,0.473979
"sum107",1,13,0,0,12,0,-0.059,-0.1531,0.825205,0.913803,1
"AT5G04360.1",3,5,0,6,3,0,0.101,0.2199,0.825606,0.972371,0.968306
"AT1G48030.1",27,43,39,26,25,30,-0.309,-2.0608,0.826233,1,0.473982
"AT3G11910.1",0,1,0,0,0,0,-0.133,-0.1557,0.826357,0.913635,1
"AT1G12250.1",5,9,6,6,4,9,-0.05,-0.1572,0.827028,0.913634,1
"AT5G12040.1",4,2,10,1,2,3,-1.025,-2.0598,0.827042,1,0.474969
"AT2G20610.1",5,7,7,7,4,7,-0.052,-0.1577,0.827253,0.913469,1
"AT1G05190.1",17,45,36,25,37,39,0.033,0.2251,0.827765,0.973543,0.967696
"AT1G52360.1",0,8,0,12,8,0,0.797,2.1303,0.827889,0.276009,0.996969
"AT3G59780.1",7,13,10,9,7,16,0.059,0.2257,0.828017,0.973542,0.967696
"AT3G18060.1",4,14,0,7,6,5,-0.053,-0.16,0.828295,0.913306,1
"AT4G39800.1",8,9,6,4,4,3,-0.753,-2.0579,0.828579,1,0.47596
"AT1G17720.1",0,2,2,3,0,2,0.143,0.2278,0.828904,0.97393,0.967497
"AT2G29630.1",2,14,11,22,10,13,0.524,2.128,0.83019,0.277051,0.996982
"AT3G14110.1",4,8,6,7,3,7,-0.059,-0.1665,0.831298,0.912833,1
"AT3G12290.1",5,13,8,4,11,13,0.065,0.2338,0.831478,0.975088,0.966914
"AT1G48350.1",10,9,13,12,12,10,0.059,0.2339,0.831521,0.975088,0.966914
"AT4G32470.1",5,12,9,8,9,8,-0.045,-0.1671,0.83158,0.912832,1
"ATCG01100.1",4,4,3,9,10,5,0.794,2.1254,0.832792,0.279147,0.997007
"AT3G14990.1",0,7,3,1,0,0,-1.433,-2.0519,0.833436,1,0.47795
"AT3G47430.1",2,4,2,0,4,4,0.116,0.2383,0.833447,0.975853,0.966537
"AT3G13930.1",2,8,2,4,4,3,-0.072,-0.1713,0.833574,0.91253,1
"AT5G28500.1",14,16,8,6,6,10,-0.563,-2.0514,0.833841,1,0.478942
"AT1G63770.3",17,61,16,39,48,6,-0.025,-0.1726,0.834198,0.912383,1
"AT4G16660.1",2,8,0,8,3,0,0.105,0.243,0.835538,0.976613,0.966169
"AT4G08870.1",5,9,13,4,6,4,-0.677,-2.0485,0.83619,1,0.479939
"AT5G26570.1",19,25,5,22,28,1,0.052,0.246,0.836889,0.976991,0.965988
"sum60",9,34,9,34,35,6,0.378,2.1213,0.836896,0.28125,0.997031
"AT1G10290.1",0,4,1,4,1,0,0.148,0.2473,0.83748,0.977368,0.965809
"AT4G16760.1",1,10,2,4,8,2,0.104,0.2475,0.837571,0.977368,0.965809
"AT3G14930.1",5,7,4,3,7,5,-0.064,-0.1795,0.837573,0.911958,1
"AT4G38740.1",20,20,9,9,7,15,-0.48,-2.0462,0.838054,1,0.480937
"AT5G37360.1",3,4,3,0,4,4,-0.084,-0.1805,0.838069,0.911957,1
"sum41",100,131,117,100,122,122,-0.014,-0.1815,0.838569,0.911821,1
"AT2G45470.1",12,32,21,20,32,11,-0.032,-0.1815,0.838569,0.911821,1
"AT4G03280.1",20,34,30,27,23,37,0.037,0.2514,0.839359,0.978118,0.965458
"AT1G30580.1",1,19,7,5,15,9,0.067,0.2517,0.839497,0.978118,0.965458
"ATCG00020.1",58,114,83,56,107,140,0.176,2.1169,0.8413,0.283363,0.997055
"AT5G05010.1",10,17,11,16,11,10,-0.044,-0.1875,0.841606,0.911427,1
"AT4G34090.1",5,3,6,2,3,8,-0.076,-0.188,0.841864,0.911427,1
"AT1G27090.1",0,7,1,2,0,5,-0.093,-0.1883,0.842018,0.911427,1
"sum77",13,5,5,3,7,0,-0.759,-2.0409,0.842351,1,0.483935
"AT3G44310.1",40,43,44,46,60,58,0.252,2.1155,0.842702,0.283361,0.997055
"AT5G57870.1",4,13,5,6,8,7,-0.058,-0.1898,0.84279,0.911301,1
"AT4G09650.1",56,87,88,45,67,75,-0.207,-2.04,0.843081,1,0.483936
"AT4G21150.1",4,10,3,9,6,1,-0.07,-0.1936,0.844769,0.911177,1
"AT3G54960.1",0,4,0,3,3,0,0.152,0.2634,0.845,0.980332,0.964457
"AT4G29840.1",12,13,13,10,7,5,-0.559,-2.037,0.845515,1,0.484941
"AT5G51820.1",20,44,34,31,25,40,-0.027,-0.1953,0.845664,0.911057,1
"AT2G30490.1",4,6,4,4,6,3,-0.076,-0.1953,0.845664,0.911057,1
"AT1G03860.1",4,4,14,6,8,7,-0.061,-0.1991,0.847684,0.910823,1
"AT5G08300.1",4,6,5,0,2,2,-1.033,-2.0322,0.84941,1,0.487953
"AT1G53210.1",0,0,2,2,2,0,0.206,0.2726,0.849465,0.981775,0.963833
"AT2G30520.1",0,8,2,0,0,0,-1.416,-2.0315,0.849978,1,0.487953
"AT1G04080.1",0,5,0,3,4,0,0.152,0.2758,0.851044,0.982131,0.963682
"AT4G15000.1",0,7,7,2,10,4,0.096,0.276,0.851143,0.982131,0.963683
"AT4G29120.1",0,6,5,3,5,3,-0.091,-0.2076,0.852304,0.910388,1
"AT1G67090.1",200,323,295,231,358,319,0.104,2.1056,0.852612,0.28869,0.997112
"AT3G25530.1",22,19,29,14,25,28,-0.036,-0.2094,0.8533,0.910286,1
"AT1G51690.1",0,3,1,3,0,2,0.175,0.2805,0.853389,0.982839,0.963388
"AT5G66510.1",2,1,3,2,4,2,0.15,0.2807,0.85349,0.983192,0.963243
"AT2G30200.1",10,18,18,11,20,18,0.058,0.2821,0.854195,0.98319,0.963243
"AT5G51110.1",4,16,9,8,9,10,-0.055,-0.2125,0.855029,0.910185,1
"AT2G33040.1",12,17,17,10,12,22,-0.045,-0.2126,0.855085,0.910185,1
"AT5G55230.1",2,3,0,0,3,3,0.169,0.2839,0.855104,0.98354,0.963101
"AT2G44120.1",8,12,16,2,17,18,0.065,0.2844,0.855357,0.98354,0.963101
"AT5G27670.1",0,2,0,1,2,0,0.187,0.2847,0.855509,0.98354,0.963101
"AT1G01100.1",9,7,7,10,6,4,-0.064,-0.2141,0.855929,0.910088,1
"AT5G01010.1",2,2,2,3,2,2,0.168,0.2865,0.856425,0.983887,0.962961
"AT1G24180.1",0,2,2,1,3,2,0.18,0.2867,0.856527,0.983887,0.962961
"AT2G24060.1",6,2,4,0,2,1,-1.181,-2.023,0.856881,1,0.49199
"AT3G11630.1",31,71,64,31,69,73,0.031,0.2875,0.856936,0.984234,0.962822
"AT5G26830.1",9,13,7,9,14,8,0.077,0.2876,0.856987,0.984234,0.962822
"AT2G46280.1",2,4,5,0,0,0,-1.44,-2.0224,0.857369,1,0.491991
"AT1G53840.1",0,0,0,0,0,2,0.238,0.2896,0.858011,0.984578,0.962686
"AT2G05840.1",0,2,0,0,3,0,0.199,0.2901,0.858268,0.984578,0.962686
"AT3G10350.1",2,2,2,2,0,4,0.167,0.2931,0.859816,0.984919,0.962553
"sum207",26,55,24,61,27,14,-0.032,-0.222,0.860439,0.909726,1
"sum86",0,11,0,9,1,2,-0.089,-0.2233,0.861193,0.909725,1
"AT5G17990.1",1,0,4,3,9,5,1.119,2.097,0.861216,0.292998,0.997155
"AT3G56150.1",1,16,1,7,26,0,0.64,2.0966,0.861616,0.292997,0.997155
"AT2G47240.1",0,3,1,2,3,1,0.185,0.2976,0.862159,0.985597,0.962291
"AT2G16485.1",0,0,0,0,2,0,0.244,0.3005,0.863682,0.986268,0.962037
"AT5G19140.1",10,17,4,9,12,8,-0.061,-0.2288,0.864412,0.90948,1
"AT5G20090.1",2,2,2,2,3,2,0.167,0.303,0.865002,0.9866,0.961913
"AT5G01650.1",3,3,7,3,4,5,-0.092,-0.2298,0.865003,0.90948,1
"AT1G11660.1",0,2,0,0,3,0,0.213,0.3041,0.865585,0.986599,0.961914
"AT5G16840.1",4,2,1,4,1,1,-0.136,-0.2312,0.865834,0.909403,1
"AT1G18080.1",16,23,25,16,21,26,-0.039,-0.2314,0.865953,0.909403,1
"AT3G55250.1",0,2,2,0,2,3,0.184,0.3048,0.865957,0.98693,0.961791
"AT2G34585.1",0,4,3,2,4,0,-0.124,-0.2322,0.866429,0.909403,1
"AT3G02360.1",6,3,3,3,5,4,-0.094,-0.2328,0.866787,0.90933,1
"AT3G46740.1",7,17,13,10,19,10,0.072,0.3066,0.866915,0.987259,0.961672
"ATCG00150.1",7,6,7,5,8,9,0.099,0.3071,0.867183,0.987258,0.961672
"AT3G25230.1",0,3,2,4,0,2,0.18,0.3074,0.867343,0.987258,0.961672
"AT1G77510.1",3,9,4,9,2,4,-0.083,-0.2349,0.868045,0.909258,1
"AT3G63490.1",22,39,56,24,37,62,0.041,0.3101,0.86879,0.987583,0.961554
"AT3G63410.1",15,12,16,9,18,19,0.066,0.3105,0.869005,0.987583,0.961555
"AT3G50685.1",2,1,1,2,2,0,0.224,0.3106,0.869059,0.987908,0.961438
"AT3G11830.1",17,28,19,14,8,21,-0.39,-2.008,0.869073,1,0.4991
"AT5G15090.1",17,23,13,18,20,18,0.06,0.3134,0.87057,0.988229,0.961325
"AT1G53520.1",4,0,1,2,3,2,0.188,0.3138,0.870786,0.988228,0.961325
"AT4G19410.1",0,2,3,4,2,1,0.185,0.3139,0.87084,0.988228,0.961325
"AT1G08640.1",0,2,0,2,0,2,0.231,0.3139,0.87084,0.988228,0.961325
"AT5G07440.1",2,7,0,0,0,0,-1.397,-2.0056,0.871025,1,0.500121
"AT1G79210.1",3,4,5,4,10,12,0.696,2.0871,0.87111,0.29844,0.997205
"AT2G41560.1",4,6,6,9,7,2,0.11,0.3144,0.871111,0.988228,0.961325
"sum83",0,12,13,0,10,13,-0.067,-0.2404,0.871375,0.909122,1
"AT3G52300.1",8,16,6,10,7,11,-0.067,-0.2414,0.871986,0.909059,1
"AT5G26742.1",10,36,39,19,32,31,-0.039,-0.2416,0.872109,0.909059,1
"AT5G23900.1",0,2,0,0,1,0,-0.181,-0.2417,0.87217,0.909059,1
"AT3G14420.1",65,88,53,42,63,61,-0.209,-2.0041,0.872245,1,0.501142
"AT4G08520.1",0,3,0,4,0,0,0.196,0.3174,0.872742,0.988865,0.961103
"AT5G22640.1",0,2,0,0,3,0,0.22,0.319,0.873616,0.988864,0.961104
"AT2G45810.1",0,0,0,2,0,0,0.258,0.3191,0.873671,0.988864,0.961104
"AT2G25080.1",5,22,18,20,13,15,0.067,0.3195,0.87389,0.98918,0.960995
"AT1G67280.1",12,11,12,11,13,13,0.072,0.3197,0.873999,0.98918,0.960995
"AT3G49110.1",0,0,1,0,0,0,-0.212,-0.2452,0.874322,0.908938,1
"AT2G26930.1",3,1,0,2,3,0,0.2,0.3204,0.874383,0.989179,0.960995
"AT2G35840.1",1,2,0,3,0,0,0.221,0.3209,0.874657,0.989179,0.960996
"AT2G47840.1",9,13,9,12,12,9,0.086,0.3214,0.874932,0.989493,0.960889
"AT1G70770.1",0,4,0,2,4,1,0.188,0.3228,0.875702,0.989491,0.96089
"AT1G56450.1",13,14,18,9,20,14,-0.054,-0.2482,0.876185,0.908882,1
"AT2G24200.1",22,22,21,30,19,13,-0.045,-0.2487,0.876496,0.908881,1
"AT5G23440.1",0,0,0,2,1,0,0.27,0.3249,0.876861,0.989802,0.960786
"AT3G44110.1",3,0,0,3,2,0,0.203,0.3258,0.877359,0.990111,0.960683
"AT1G03870.1",2,1,1,3,0,0,0.235,0.3281,0.878635,0.990416,0.960583
"AT4G13780.1",1,3,1,1,4,0,0.209,0.3283,0.878746,0.990416,0.960583
"AT4G28730.1",2,2,2,2,2,3,0.187,0.33,0.879693,0.99072,0.960485
"AT3G07050.1",0,0,0,0,2,0,0.286,0.3304,0.879917,0.990719,0.960485
"AT3G11780.1",0,2,2,2,3,0,0.209,0.3322,0.880923,0.991021,0.960389
"AT5G16710.1",21,19,12,11,28,11,-0.051,-0.2564,0.881346,0.908681,1
"AT2G04400.1",0,0,1,0,2,0,0.27,0.3337,0.881764,0.991019,0.96039
"AT1G65980.1",16,18,11,13,4,11,-0.477,-1.992,0.882086,1,0.506271
"AT1G30470.1",2,0,0,3,0,0,0.238,0.3352,0.882607,0.991318,0.960295
"AT5G26667.1",0,2,2,0,1,4,0.199,0.3359,0.883001,0.991318,0.960295
"AT1G27020.1",1,2,0,2,2,1,0.241,0.337,0.883622,0.991615,0.960202
"AT2G43560.1",2,3,3,3,2,2,-0.135,-0.26,0.883646,0.908636,1
"sum37",2,8,3,3,9,13,0.692,2.0743,0.883875,0.305052,0.997261
"AT5G20830.1",1,2,0,3,0,0,0.245,0.3375,0.883904,0.991614,0.960202
"AT2G26340.1",6,7,5,4,8,8,0.111,0.3379,0.88413,0.991614,0.960203
"AT5G17380.1",1,4,1,0,0,3,-0.169,-0.2609,0.884224,0.908595,1
"AT2G21160.1",1,2,2,2,2,2,0.212,0.3381,0.884243,0.991614,0.960203
"AT1G11650.1",2,2,0,2,1,1,-0.19,-0.261,0.884289,0.908595,1
"AT1G14345.1",0,7,2,9,6,6,0.789,2.0734,0.88477,0.305051,0.997261
"AT2G04700.1",0,2,2,2,2,2,0.206,0.3393,0.884922,0.991908,0.960112
"AT5G64940.1",3,4,5,4,7,3,0.142,0.3396,0.885092,0.991908,0.960112
"AT5G47210.1",2,4,1,2,3,0,-0.153,-0.2625,0.885254,0.908556,1
"AT4G31840.1",0,2,0,1,3,0,0.257,0.3404,0.885546,0.991907,0.960112
"AT5G38830.1",1,2,2,2,0,3,0.213,0.3405,0.885602,0.991907,0.960112
"AT1G31812.1",0,2,5,2,0,4,-0.145,-0.2631,0.885642,0.908556,1
"AT3G23570.1",1,0,0,0,1,2,0.281,0.3409,0.885829,0.9922,0.960023
"AT5G60720.1",0,0,0,0,0,2,0.276,0.3409,0.885829,0.9922,0.960023
"AT5G08280.1",15,33,34,12,36,30,-0.042,-0.2635,0.885901,0.908556,1
"AT3G46560.1",0,0,0,2,0,1,0.287,0.3416,0.886227,0.992199,0.960023
"sum20",6,18,9,13,15,6,0.083,0.3421,0.886511,0.992199,0.960023
"AT2G39020.1",2,1,4,2,1,3,-0.149,-0.2647,0.886678,0.908519,1
"AT5G42480.1",0,2,0,1,3,0,0.238,0.3424,0.886682,0.992198,0.960024
"AT5G14800.1",0,1,0,0,2,0,0.295,0.3428,0.88691,0.992489,0.959936
