"Protein","rep1-triple","rep2-triple","rep3-triple","rep1-wt","rep2-wt","rep3-wt","LogFoldChange","Zstatistic","fdr","FDRup","FDRdown"
"AT3G61440.1",11,16,18,9,10,8,-0.526,-2.1722,0.737286,0.998626,0.424323
"AT5G20280.1",2,3,1,6,8,3,1.117,2.2189,0.740284,0.235466,0.99635
"AT4G31700.1",8,10,10,6,4,4,-0.676,-2.1627,0.744757,0.998829,0.428936
"AT1G56340.1",25,30,17,19,11,18,-0.411,-2.1614,0.745781,0.998829,0.428938
"AT1G57720.1",11,24,16,12,14,5,-0.5,-2.1545,0.751225,0.998989,0.432652
"AT4G32520.1",6,3,5,3,0,1,-1.105,-2.1519,0.75328,0.999028,0.433585
"AT3G56070.1",7,6,6,2,2,4,-0.922,-2.1487,0.755812,0.999067,0.434521
"AT4G35450.1",8,12,6,1,10,2,-0.721,-2.1343,0.767237,0.999337,0.441097
"AT3G49120.1",6,8,7,0,0,7,-0.883,-2.1159,0.781908,0.99967,0.449651
"AT3G57410.1",0,2,0,4,9,0,1.274,2.1749,0.783453,0.255697,0.996691
"AT5G28050.1",0,9,4,1,2,2,-1.13,-2.1135,0.783827,0.999706,0.450608
"AT4G11175.1",1,1,2,2,1,0,0.024,0.0299,0.784225,0.937433,0.994963
"AT1G15980.1",0,0,0,0,1,0,0.026,0.0292,0.784225,0.937069,0.995354
"AT1G15730.1",0,0,0,0,0,0,0.027,0.0303,0.784226,0.937433,0.994963
"AT1G51510.1",0,0,0,0,0,0,0.027,0.0301,0.784226,0.937433,0.994963
"AT3G08010.1",1,0,1,0,1,1,0.026,0.0305,0.784227,0.937433,0.994963
"AT3G62750.1",1,3,3,2,0,4,0.017,0.0312,0.784228,0.937433,0.994963
"AT3G13160.1",0,0,0,0,0,0,0.028,0.0309,0.784228,0.937433,0.994963
"AT1G70070.1",1,0,0,0,0,0,0.029,0.0309,0.784228,0.937433,0.994963
"AT5G11490.1",0,1,0,0,1,0,0.028,0.031,0.784228,0.937433,0.994963
"ATCG00330.1",0,3,2,0,2,3,0.016,0.0278,0.784229,0.93707,0.995354
"sum142",0,3,0,0,3,0,0.021,0.0315,0.784229,0.937433,0.994963
"AT5G11580.1",0,0,1,0,0,0,0.023,0.0276,0.78423,0.93707,0.995354
"AT4G32915.1",0,0,0,1,0,0,0.027,0.0319,0.784231,0.937798,0.994574
"AT1G10360.1",0,2,0,1,2,0,0.024,0.032,0.784232,0.937798,0.994574
"AT5G02280.1",0,1,1,0,0,0,0.024,0.027,0.784233,0.936708,0.995746
"AT1G28490.1",0,0,0,0,0,0,0.024,0.027,0.784233,0.936708,0.995746
"AT3G56240.1",3,4,4,2,4,5,0.012,0.0268,0.784235,0.936708,0.995746
"AT2G06530.1",0,0,0,1,0,0,0.028,0.0324,0.784235,0.937798,0.994574
"AT5G47010.1",0,1,0,1,0,0,0.023,0.0267,0.784236,0.936708,0.995746
"AT1G10840.1",5,4,0,2,7,1,0.012,0.0266,0.784237,0.936708,0.995746
"AT5G61030.1",0,0,0,0,0,0,0.023,0.0266,0.784237,0.936708,0.995746
"AT5G19850.1",0,0,0,0,0,1,0.029,0.0328,0.784238,0.937798,0.994574
