Tissue,AT1G23180.1,AT1G33780.1,AT3G19780.1,AT3G29240.1,AT5G52960.1,AT1G32160.1,AT1G48450.1,AT1G63610.1,AT2G14910.1,AT3G17800.1,AT4G33630.1,AT1G27510.1,AT5G24060.1,AT3G49140.1,AT3G59300.1,AT3G09250.1,AT1G75380.1,AT1G19660.1,AT5G66050.1
internode,0.955020033453923,0.908984030928329,0.8794267985089618,0.774036988055503,0.8593429580886652,0.9156922426051496,0.0,0.9532310652627078,0.0,0.8357938783156317,0.9251434098185699,0.8556134124130201,0.8597034134505033,0.9168813851795204,0.9527746672597955,0.8908636456493265,0.9224120921847254,0.9633217963213906,1.0
cauline leaf,0.9874858987824328,0.8725828029350955,0.8830204682931184,0.8361231815605517,0.9735964356011628,0.9546182803912582,0.0,0.9587058940311386,0.9009760941247003,0.9239651608720727,0.944374499733191,0.8811858839645699,0.9016624586024855,0.9529070337470831,0.9179590229735187,0.9581535824010319,1.0,0.9962109115390259,0.0
leaf distal,0.9749951375111837,0.9024939466419987,0.7954465302113792,0.9131347481999287,1.0,1.0,0.8260939167556031,0.9771538526148608,0.0,0.7674290356936885,0.9773712646744931,0.9019793271999875,0.9438223431812965,0.9687550248053807,0.91414459051096,0.962551722204197,0.9862929963904504,0.9782710018211791,0.0
leaf proximal,0.9835142179172988,0.9042408517821011,0.803357067922591,0.8695215903604341,0.9817250438549534,0.9955460496163022,0.0,0.9545558669242459,0.867646507793765,0.9061162118131417,0.9523162353255068,0.8863073833652455,0.9164098108010624,0.9553973763162539,0.0,0.9466214835910932,0.9784897149113475,0.9662736602249286,0.5656275316258491
leaf petiole,0.972023184346676,0.8924768829905246,0.8845695408584631,0.8800554191069967,0.95858280556402,0.971215807018987,0.8447749911063678,0.9684185609676016,0.876058528177458,0.7055681143679831,0.9766292022411953,0.8833068696586186,0.928570843033741,0.9441182814675373,0.8687242103971405,0.9562509262931053,0.9484604284260738,0.9561665472686627,0.6857668099956378
senescent leaf,0.9443458980044346,0.8897865016566114,0.8818776366598959,0.7048974536599701,0.8367278028050699,0.9288464777752969,0.8122331910352187,0.8952910363995938,0.9023718525179855,0.8921190996383904,0.8866270344183564,0.8638015847071095,0.8562686493753483,0.8804400258838755,0.9018218261211925,0.9046228535034909,0.949218704663012,0.9653846485814654,0.7051045366735215
root,0.8981833741782393,0.8593335962290436,0.9682283877592018,0.7551357138358838,0.9136654505324361,0.7780898546296405,0.6021700462468873,0.8624344280445623,0.0,0.7875259420161735,0.9214122532017075,0.8559442083469544,0.8657367937829951,0.9204306135655038,0.0,0.8050879027121862,0.8587246257945459,0.8887570236235424,0.7384168380382626
flower pedicle,0.9625082662309877,0.8978244765734124,0.9235508135979107,0.8771375191552784,0.9465216639351688,0.9538779139686383,0.7908217716115261,0.9785664653375381,0.8249681504796162,0.8430471186997208,0.923776013874066,0.8752043151356653,0.9280462012656983,0.9243014294958527,0.0,0.9048151219101866,0.9433884889024725,0.9820169343771308,0.759367015641553
flower,0.9102734663710274,0.8996377198833921,0.9556929532822929,0.8430547683523312,0.8295504146660846,0.8939826621069497,0.8554873710423336,0.897723021005933,0.8684286945443644,0.8801342038905657,0.9128243396478122,0.8688024408848208,0.9013919401908385,0.8698001843245681,0.0,0.8477554666314175,0.9110882424626956,0.9570469277311214,0.7319436654826447
silique septum,0.9353133387793208,0.8926537847768642,0.9283632061784335,0.7271826521401431,0.8594623753325152,0.9136239173610051,0.0,0.9011247451570291,0.0,0.8560675902655873,0.8794940635005335,0.8385638008063637,0.8112478276551792,0.8827107476910406,0.868806021281056,0.8852638283043128,0.9053586143662398,0.9791945381886602,0.969340063563283
