Tissue,AT1G11390.1,AT1G61640.1,AT1G65950.1,AT2G39190.1,AT2G40090.1,AT4G01660.1,AT4G24810.1,AT5G24810.1,AT5G24970.1,AT5G50330.1,AT5G64940.1,AT1G06690.1,AT1G17420.1,AT1G28150.1,AT1G32220.1,AT1G52590.1,AT1G54570.1,AT1G73750.1,AT1G78140.1,AT2G34460.1,AT2G35490.1,AT2G41040.1,AT2G42130.1,AT2G46910.1,AT3G10130.1,AT3G23400.1,AT3G26840.1,AT3G27110.1,AT3G43540.1,AT3G58010.1,AT4G04020.1,AT4G13200.1,AT4G19170.1,AT4G22240.1,AT4G32770.1,AT4G38970.1,AT5G08740.1,AT5G13800.1,AT5G41120.1,AT1G71810.1,AT1G79600.1,AT3G07700.1,AT3G24190.1,AT4G31390.1,AT5G05200.1
internode,0.6499617456775817,0.4985194456804628,0.0,0.7196294292583143,0.7148212290681631,0.7610081214406674,0.7535237192804985,0.748260948899268,0.5700054100255136,0.6460434786784173,0.767938716255366,0.8140455786646521,0.6127446115825765,0.7346494527551116,0.8642499751907113,0.6413057048558981,0.7840695556416322,0.7195493992950961,0.7900269861035971,0.8716735545788344,0.8851794111715426,0.7906448174196419,0.8735750665048995,0.7802313186056861,0.7744115396804563,0.9217370983696297,0.0,0.6976435977630024,0.8493900116203507,0.8576298966332996,0.8681074194178301,0.8990694115876985,0.8138631103485146,0.881853365900193,0.8314152818815366,1.0,0.8012311809541492,0.6539504390443782,0.7091070896943815,0.7495638367004607,0.7899245477506779,0.7666646392409319,0.7153558292224609,0.8118271480842427,0.7924022754119142
cauline leaf,0.6509405245567608,0.0,0.5175680544684235,0.6871420229353808,0.7363611514903028,0.7426354566575968,0.7841328413284133,0.7229956390472996,0.5601587834060158,0.6206902978120691,0.7920564811708722,0.8399648390423298,0.6225259979872526,0.7631139190179781,0.9033415334153341,0.7058375886789171,0.7768211015443487,0.7531992744169865,0.8057854063389118,0.8911687601724502,0.9063264875072993,0.8108514418477518,0.876303005454297,0.8188154608818815,0.8010455104551045,0.9452240734528558,0.0,0.7515903189334923,0.8475281722514195,0.8664722253283139,0.8715972765788264,0.8894945767639495,0.9002447600233577,0.8550418079938374,0.8470622585013728,1.0,0.8303111061413644,0.7571377986507138,0.7169511846633618,0.7859902841452657,0.7977779020214445,0.790049945954005,0.7559171046255917,0.8250524929491719,0.7949855256128319
leaf distal,0.6476361298182679,0.5320223111688136,0.5421564796839763,0.7917757561400324,0.6964948821526031,0.7395389476339762,0.7453936296875144,0.7069643950418257,0.0,0.62478964062774,0.8149975849051959,0.8228397207719689,0.662135928303988,0.73066308966001,0.8690495602066213,0.7556108651577196,0.7453628641486099,0.6525801519202311,0.7886284415100957,0.8703847845950793,0.8797405849759566,0.7553001332147834,0.8747904097662127,0.7811554921101774,0.7488885949070726,0.9018856198794606,0.0,0.7194859693759825,0.8149914317974151,0.8033282159986955,0.8349490368848045,0.8666867668187509,0.8161697519374598,0.8149299007196059,0.7915142490593436,1.0,0.7962275296195226,0.5500386107513252,0.5639507874439682,0.7415571669861155,0.7666433874088955,0.7376253311141124,0.7451290460529352,0.7961936875267276,0.7453536344869385
leaf proximal,0.6556397703529874,0.524435226430239,0.5555919782852452,0.781461579466567,0.71199151997157,0.7196321236221486,0.7446647508991648,0.6966214684419174,0.5719331891401718,0.6037087870005576,0.7967734227085849,0.816622448792025,0.6177890654199882,0.7158976024312683,0.8830105326364679,0.736926112237833,0.7322541312566251,0.6949211737241663,0.7963322651601954,0.8695337822519869,0.8758233409106227,0.7889490034128439,0.8760194109321292,0.7870985925848769,0.7697188233347835,0.9185635420049386,0.0,0.7258359016463755,0.8171034330635328,0.8298418572732787,0.8340849350824414,0.8577910261202033,0.838646626676552,0.801696618404848,0.8014760396306532,1.0,0.8012830332032328,0.5599208367288168,0.6401931289711839,0.7441561942808825,0.7624918048858199,0.71796859203343,0.7334703781087822,0.8182645352221413,0.7650958598589522
leaf petiole,0.6663299897103105,0.5397794345089673,0.5824627077665061,0.7254862351730624,0.7161024171301235,0.7803751002140003,0.7356654525253928,0.7189967868392977,0.5554128185542669,0.6292271370043747,0.8180555643231846,0.8177651804483274,0.6486923256592029,0.7473534034883941,0.8345190674890001,0.7510494851998913,0.7621093232161907,0.6626907222351983,0.7991143291816856,0.8751538718902097,0.8847176016817014,0.7614496468048305,0.8562315748275057,0.7830295875917708,0.7640851961038059,0.9129953096691517,0.0,0.7059200434313274,0.8247628005630921,0.821044624426334,0.8388937636906527,0.8778557044649676,0.7887110112302806,0.8285409472827013,0.7947901345234863,1.0,0.8047957528201954,0.0,0.6664120547184222,0.735034183232225,0.7582238607167432,0.7371047465138153,0.743710979666816,0.7959232629047225,0.7714805158732664
senescent leaf,0.7094164222403873,0.5407703034091456,0.6214357840073087,0.6839512109118303,0.7628023272587392,0.788001474571653,0.7601416871023065,0.7877161770127102,0.6530012341523617,0.6489044894295651,0.7747463576477377,0.8417848728181949,0.7160744338125692,0.7917423987434085,0.9455177830135757,0.7559135131669632,0.9194563318427338,0.7927425429949833,0.8477857383276434,0.9249731531791444,0.943132823644436,0.8622525684794281,0.9397413088426215,0.8320110272314917,0.8613037136766521,0.9580452308826595,0.0,0.7821961500857496,0.8842685643762722,0.9154910163324839,0.9581670433235563,0.9201647673542658,0.8461316536038852,0.9720472504047059,0.8724271128848713,1.0,0.8588225865910147,0.8441409818723855,0.7617188376528666,0.8202368931416391,0.8440287862031383,0.8510362071452614,0.7912455322081711,0.8796877754804379,0.8693657739096986
root,0.8167037639471506,0.7034215107154067,0.570784464800388,0.7003502839368775,0.7948912764318123,0.9144051593756242,0.6613517678280969,0.830112290614388,0.694739320263676,0.7775518648517535,0.8225537197157777,0.8123733698598864,0.0,0.824833062237822,0.8830722255514653,0.6238157406614729,0.8805467568415946,0.0,0.8335473561053561,0.8627685985788888,0.9202943526524555,0.8334974174585508,0.8209414148332049,0.7761607168336044,0.7783366150158376,0.911997403190366,0.0,0.6809098821447934,0.846930913449191,0.8244264189709785,0.837342693262563,0.9012427588962131,0.7543482293182661,0.899944354079274,0.8547998173672344,1.0,0.8545215877636047,0.6502190166367035,0.7087792141083811,0.7189417287332706,0.7562137944810661,0.7306737436863282,0.7194018776931198,0.7538381417116115,0.8016650971663385
flower pedicle,0.663705705667241,0.6199093138981574,0.5563169658582198,0.7307500176120607,0.7282234874442017,0.7767975509628994,0.7819690924344991,0.763361149715325,0.6261311746283855,0.63223135202987,0.8184901020218647,0.8447865098019123,0.7648245518531089,0.754564725924313,0.8803724790736697,0.6737637934457517,0.8186277963149164,0.5320571527381951,0.7703099082251527,0.8659658133890088,0.8965755749537283,0.7716484248413313,0.8903184901020219,0.7743158514951038,0.7580423073720883,0.8808688189672287,0.0,0.6820286532217262,0.8448441492734224,0.8081534234643885,0.8538967484933683,0.8756396380241189,0.672063429036204,0.8714575741467757,0.834110398801099,1.0,0.7956200406038054,0.5933343153391443,0.7107523231909211,0.7633771606796335,0.7827568318784704,0.7705020397968528,0.7476800112717189,0.801271911004656,0.763722997508694
flower,0.7534862314434392,0.6384095192343224,0.5497613136650866,0.7496195464119784,0.7779091681756033,0.8453225205008215,0.7505635416281734,0.8149567811442835,0.6809665704754577,0.6682377524179379,0.8170026640149696,0.8340449691101922,0.7411571836020305,0.7709686197177421,0.9018379351700367,0.5656647775564297,0.9370949807001691,0.7192874011912481,0.8042570488895459,0.8608228547624727,0.9243359279204223,0.8113588491992838,0.888134887174095,0.78144999008973,0.7793503566017517,0.9084291046154983,0.0,0.7122527891531254,0.8524343990513017,0.8146813092306606,0.9200862697407541,0.9094604445847932,0.8243060291395534,0.9650755364143635,0.8731451837767199,1.0,0.8198581655586201,0.7524145785111752,0.7032932331332242,0.7330206839094168,0.7891094530538749,0.8276016138622843,0.7485982846834257,0.8273059854671768,0.8131494166378318
silique septum,0.6998548273933273,0.5835195142375852,0.732795106163531,0.6575898760697992,0.7681797165739265,0.7958853750723438,0.7816461732953536,0.8038747183037115,0.6444629098539545,0.689844707343018,0.7724702299159034,0.8329092396382648,0.7487317604684323,0.7591492691254402,0.9210506746161332,0.701138424828719,0.8989676255387391,0.7979223181058369,0.8510250996647127,0.9080304054163285,0.9351185145188773,0.8760245338472035,0.8805801731078254,0.8090349739885608,0.848823261242794,0.9710657091956661,0.0,0.8225725620540145,0.8634472189261108,0.9016221179681009,0.9224636017679373,0.9268026137535686,0.8539964498992845,0.9575184214014815,0.8996951051935581,1.0,0.828925884372767,0.7911810066378476,0.79299808915344,0.7701002628626487,0.8461623023276116,0.8690116299747485,0.733089331268369,0.8650121084946991,0.8194945148034027
