Tissue,AT2G03390.1,AT1G02560.1,AT1G09130.1,AT1G11750.1,AT1G12410.1,AT1G33360.1,AT1G49970.1,AT1G66670.1,AT1G68660.1,AT3G48870.1,AT4G12060.1,AT4G17040.1,AT4G25370.1,AT5G15450.1,AT5G23140.1,AT5G45390.1,AT5G49840.1,AT5G50920.1,AT5G51070.1,AT5G53350.1,ATcG00670.1
leaf proximal,0.8245875956723576,0.9358286371514707,0.888079760871167,0.9301772001038019,0.8849785187724464,0.6985515789743474,0.8858339233595934,0.8533637904354874,0.7364681081462069,0.8054419109802552,0.8939810913937328,0.8843153399352199,0.8886564381209292,0.8892491341831847,0.8606587576449782,0.907279909525747,0.7281767707996271,1.0,0.8341668455434061,0.790249669211522,0.9229719382442741
leaf petiole,0.8159903967833129,0.9452401942764569,0.8951258470316886,0.8860593955048358,0.8364004853658299,0.7084942273346845,0.8634501963259239,0.8648002420322906,0.6993236758979431,0.8419438055673933,0.9008741139308452,0.8803859504159117,0.8814302026369808,0.8887237025735449,0.859839230701666,0.9132229657413703,0.7353259791084493,1.0,0.8113384320601698,0.7888561046464344,0.9373708917133219
senescent leaf,0.7872924732594002,0.9446846905964958,0.8957871251394448,0.9077400091869545,0.8166710414069164,0.7280005249688299,0.8533368331255331,0.8592558566835095,0.7391134588883785,0.7350547936216286,0.8840540717894874,0.8777117921123433,0.8730231642496227,0.9080156178226917,0.9029660738893628,0.8888444123630159,0.7388476934182032,1.0,0.8874401207428309,0.8217829253888049,0.9049051775050856
root,0.7175775930475521,0.9355450138432165,0.8808062677371626,0.8881904715702955,0.7539719116113227,0.8494225351624629,0.8267570836033252,0.856494876797106,0.6994861203995995,0.9078793717016241,0.8397478767381987,0.874842769474928,0.8957721881291387,0.8849228487572292,0.9141131505358832,0.869447553441053,0.7553337098780619,1.0,0.7639757579117707,0.8523401792861128,0.9071551583740198
flower pedicle,0.8027142613509649,0.9360790795912209,0.9048795046374644,0.9084182769884687,0.8743457042780117,0.8258851850394217,0.8973526440762459,0.8599839951723143,0.7295610479226521,0.8681766303278365,0.8896257231689558,0.9039775932412399,0.9191788998648772,0.9003338712004932,0.863801540136697,0.9173553990056017,0.7311287339131803,1.0,0.7997494326157398,0.7637024938670025,0.9013768087423091
flower,0.7944501961639059,0.93268785418483,0.8943677800784656,0.8983557650392328,0.843136987794246,0.8552746294681779,0.857008091761116,0.8663905841325197,0.683706135571055,0.8774418319529208,0.8918374019180472,0.8797338164777682,0.8894807105492589,0.9104627561028772,0.8968879413687881,0.9095398321708806,0.7614667338709679,1.0,0.8773464744986923,0.8020549531386225,0.9075441368788143
silique septum,0.7965419006372784,0.9328173629522288,0.8809919805029065,0.9053106525927511,0.828748332702093,0.8334250004116786,0.8640736410492862,0.8566173201376652,0.7428721985278377,0.7259933802097914,0.8856587679285985,0.8874108716057109,0.8962306716946334,0.8827506710359478,0.9106987007426681,0.9140942249740642,0.7208226983055314,1.0,0.8706242692706704,0.7816556062377525,0.8871144630889062
silique valves,0.8136635025809418,0.9460007630326962,0.902961153809783,0.8905145905546986,0.8469989011024844,0.835592540540188,0.8704442219838198,0.8568400663903663,0.7285234012997642,0.7515578584215657,0.9035970143900139,0.9020155149981576,0.9027394178125744,0.88279948218123,0.8608247926931467,0.9049763427255919,0.7162790091009583,1.0,0.8811071147907692,0.7967137420884269,0.8965568964786367
egg like callus,0.8079942287835999,0.9551978556238588,0.9095272936140533,0.9044535464945331,0.8656482703445635,0.7950226677516189,0.869378363408847,0.8471755913103534,0.7959902354300719,0.9207141538398419,0.9133120901513235,0.9073118029580903,0.8735255704546542,0.9585074157395568,0.9560047318504133,0.9364721730270851,0.7683854953741376,1.0,0.7202977236517303,0.8441292916584041,0.9136163782198122
callus,0.7540958595843982,0.9400695559308047,0.8905482297218109,0.8867167589571465,0.8104132787334302,0.8143626409062382,0.836006116483646,0.8389499342928769,0.6582674817355002,0.8846189853710632,0.853894403972247,0.8850801488205658,0.8663354149257457,0.915461458178023,0.9415813398705275,0.9368483465730008,0.781803807892483,1.0,0.7638947160377391,0.8609297471229296,0.9052014382751794
cell culture early,0.8352368786218722,0.9095904938658439,0.918591158413762,0.8823336994659514,0.8287291295799575,0.8577385399916673,0.8556760311683302,0.8285018748515096,0.0,0.9163943627054331,0.9374119818333947,0.9059544182106789,0.8521914586654639,0.9462026079201716,0.9319750846179539,0.9005622832902352,0.7804374997847967,1.0,0.7691574014454778,0.858120741125875,0.9355491817108149
cell culture late,0.8802264352325656,0.9288471866165429,0.9062610827954483,0.8601904298689148,0.8422316570235792,0.8242999050890508,0.8490747026855409,0.8293832139346836,0.7271056889150092,0.8930005708167408,0.9208456194037161,0.8965335549048019,0.8540533055017951,0.9492412190483911,0.9223824337058842,0.8913455400297906,0.7248528204764462,1.0,0.7873623200154019,0.861473923132264,0.9048087088395532
cotelydons,0.8200844472614554,0.931619161140385,0.898322722241668,0.8946458922619441,0.8404173801167377,0.6671585924615525,0.8428076349406063,0.8611350241705847,0.7476010734073114,0.848404867542673,0.8947404933763453,0.8947310332649052,0.8590317260603997,0.8945102973313026,0.82885081719596,0.9016936752848282,0.7281952314731601,1.0,0.7979761668259119,0.7798379798247357,0.9194786847922402
hypocotyl,0.8185066226382932,0.9369654513186787,0.8981119715508972,0.9007055457702348,0.8345292963593036,0.8422765966691288,0.8638273267803249,0.861126801046788,0.7132028302044444,0.8502077198939844,0.879940240841441,0.8838640245186346,0.8864241763897847,0.8998332224825452,0.8732156643861484,0.8860030548026243,0.753399888369357,1.0,0.8063275189588269,0.7972500091911457,0.9001306813814124
root tip,0.8036253566451551,0.9283164958592672,0.8999933970689937,0.8878057765220626,0.7945828163933402,0.8407199279932999,0.8364210723855,0.8515278834825944,0.6707500582100496,0.9303425531101543,0.8747215474490099,0.8776546389065547,0.855326306424652,0.892914359984848,0.953522316169188,0.8918370396627641,0.7546420342587863,1.0,0.7741797595838069,0.8395800535879979,0.8757884420905575
root upper zone,0.74006627786482,0.8984859362897835,0.8955787642042943,0.895960728419906,0.7694704490555228,0.8521939953810624,0.7924767196347291,0.8690923752161811,0.0,0.9246434116477866,0.8461851323965779,0.8606644055328224,0.8180258816123134,0.8839040986882359,0.917325967554262,0.8586025061096592,0.7259760423555875,1.0,0.771790527994794,0.846899546948,0.8838581215141345
shoot tip,0.8133291449712685,0.9362988205953185,0.8907027881164746,0.8938884816870215,0.8342138412674238,0.7122817371548964,0.8523983132323685,0.8470613246012332,0.7136334358212839,0.8758690058034199,0.8783788500407731,0.8896683896065161,0.8573259846617105,0.8903981799663027,0.8419972141046266,0.8873870014817917,0.7097401629019003,1.0,0.7819798895160855,0.7647219340079134,0.9037533435503985
