Accession,sepal,petal,stamen,carpel,silique,embryo,seed,seed imbibed,pollen,node,internode,cauline leaf,leaf distal,leaf proximal,leaf petiole,senescent leaf,root,flower pedicle,flower,silique septum,silique valves,egg like callus,callus,cell culture early,cell culture late,cotelydons,hypocotyl,root tip,root upper zone,shoot tip
AT5G64940.1,0.9248010054461667,0.893171344784248,0.8738217427733557,0.9123975103237775,0.9250553593871566,0.8637934645999162,0.7474789035848943,0.7006889999401521,0.7538115686157161,0.8824174097791609,0.8973120773235981,0.9538310192112035,0.9908806631156861,0.9728215333054042,0.9694550840864204,0.9040262732659047,0.8625516188880243,0.9560827996887905,0.9096819079537973,0.8936613501705668,0.9123900293255132,0.7565907594709438,0.7315743012747621,0.7713806930396792,0.783357771260997,1.0,0.9138039379974864,0.8215520078999341,0.7928511580585313,0.9754959901849303
AT1G06690.1,0.9635909049732766,0.9242141498324123,0.9069770812573603,0.87448138418335,0.894247667361174,0.9024331914122656,0.873615363710481,0.8283866292236616,0.6574834677054081,0.9121550865114594,0.9214385360992844,0.9798894827430021,0.9691276383730411,0.9658737204456925,0.9388024277561373,0.9515318416523235,0.8252341697617538,0.9559380378657487,0.8996140954796631,0.9334468701875169,0.9633118941933146,0.7962134251290878,0.7714285714285715,0.8226252377932785,0.8385904520336988,1.0,0.9732548238065042,0.8360539903976809,0.8467397409185614,0.982081710299846
AT1G17420.1,1.0,0.9251927042665224,0.906404789076421,0.8960978637355596,0.8679840631068932,0.939103449656636,0.8379121869181332,0.7943339940336757,0.7559412977756421,0.7852483632650609,0.7664564438304603,0.802534686767974,0.8617935011111777,0.8074759244799488,0.8229523294692374,0.8944801489578953,0.0,0.9563897731595491,0.8834204256511903,0.9272749114060904,0.9860371994313972,0.6930906761166837,0.0,0.7229943740364787,0.6925300818867999,0.956033395399123,0.649224177628286,0.8031513404208461,0.6771097363204998,0.8184435501631728
AT1G28150.1,0.9795706128426646,0.8874962023541509,0.8889568353730263,0.860503704165336,0.8839673129805483,0.9089227149857053,0.9330562674789086,1.0,0.0,0.9725556793306795,0.8938762473805981,0.956940538603557,0.9250442084927046,0.9101847019140135,0.9222553731819988,0.9620235415092429,0.9006730596950977,0.9178228388473852,0.8938879324447492,0.9145315457781864,0.9911738815446096,0.9329705770084677,0.8944760806736829,0.8524332198583771,0.948764888719239,0.9547281664576339,0.898141295795714,0.8067212488996565,0.8016849862505745,0.9168373984373174
AT1G32220.1,0.9683549239046784,0.941561369546276,0.917642791031974,0.8561901823643286,0.8716974223536154,0.9156831966476697,0.9339738743350772,0.9321871853376232,0.869544580772243,0.8982807780064348,0.9153034828569394,0.9859980539668225,0.9576754735403904,0.9771764889357505,0.8963754284493777,1.0,0.8393166507887537,0.9320888665882376,0.9101298824582399,0.9657918558172491,0.9773527846243037,0.8354449262439865,0.8689784003878506,0.8316071047162488,0.8724738014435905,0.9881508955481949,0.9409409443346364,0.7931034482758621,0.8133876233646032,0.9604928142555407
AT1G52590.1,0.8856184347573333,0.6799794918169119,0.7882691577918984,0.0,0.8204524718819891,0.0,0.9456412036850136,0.7143266614454231,0.0,0.8467659241197226,0.8087531186164243,0.9173899703680976,0.9915100966468313,0.971082654437115,0.960610562521699,0.9519793626315066,0.7060103509805978,0.8494222990157687,0.6797655284894188,0.8754450840916248,0.9010520536442396,0.0,0.7325498776775694,0.7810307380523684,0.7383995543103518,1.0,0.9229651280146626,0.0,0.0,0.9662826092222231
AT1G54570.1,1.0,0.9950882671232187,0.9690654640850473,0.8305385148876433,0.8179107377985653,0.8701942245258301,0.864133293574877,0.8616539741145647,0.7553347248793006,0.8088176661562841,0.8206212370463933,0.8379295672247369,0.8117157895794873,0.8008134848175188,0.8089717860146279,0.9610009749756255,0.8270741685066121,0.8565244631770803,0.9345895218598916,0.9315506803051572,0.948490462996157,0.8118096016671748,0.8091527093265967,0.8019291785746593,0.8511671228837835,0.8519879786510492,0.8560822061922678,0.8214119389283309,0.8118029008037686,0.854557759767346
AT1G73750.1,0.913253534662314,0.7752998059254439,0.796737752549332,0.0,0.0,0.825254372286602,0.7868283580694255,0.7176495664172491,0.7112514630379585,0.8408102519229834,0.8405223185739447,0.9067694252177262,0.7931778493248525,0.848214252326838,0.7851044973693362,0.9247521716531487,0.0,0.6213152944959858,0.8006454194291441,0.9228338624576046,1.0,0.0,0.0,0.73723277354603,0.7050440687599796,0.8352348152552322,0.7564270836839015,0.6007336691309274,0.7591344050436948,0.8077839228488201
AT1G78140.1,0.962624500209149,0.928576542898165,0.9422635579455911,0.8563391003199415,0.8561921307200379,0.9496798700637998,0.9391809647988966,0.9558978146751029,0.9167247636238934,0.9282712983445193,0.9300198597382433,0.9776153993993089,0.9659859587505323,0.9795486149057322,0.9540851896096261,0.9966460783611758,0.880611695011701,0.9065273344613565,0.9021823101360034,0.991897829748908,0.9974374531298872,0.8918153006658852,0.8685601878196118,0.8020055697709911,0.8216881908042252,0.9903527647242812,1.0,0.8435979665436895,0.8841201231529877,0.9734399553815367
AT2G34460.1,0.9767007451048345,0.9006896551724137,0.9085357823600763,0.8533599029630913,0.8754254028764512,0.8950164616184371,0.9729613585167215,0.9602425922717033,0.8090625541500607,0.9224987003985444,0.9436700745104835,0.9943164096343787,0.9804505285045919,0.9836354184716687,0.9609010570091838,1.0,0.8382325420204471,0.9371997920637671,0.888033269797262,0.9732871252815802,0.9804505285045919,0.771793450008664,0.8377785479119736,0.7855969502685842,0.8241275342228384,0.9961809045226131,0.9470906255415006,0.7920187142609599,0.792157338416219,0.963295789291284
