Acc	wt-1	wt-2	wt-3	mut-1	mut-2	mut-3
AT5G50250.1	1	1	1	4	4	7
AT5G62790.1	7	5	0	5	3	6
AT4G15560.1	0	1	2	2	3	6
AT4G34350.1	1	5	0	3	5	2
AT5G06290.1	20	24.7	18.5	17.5	22.4	18.4
AT1G18500.1	9	8	10	2.8	19	17.3
AT1G74040.1	0	0	0	8.3	0	5.8
AT3G03710.1	10	15	11	21	24	29
AT2G37660.1	13	10	7	16	20	32
AT5G57850.1	5	4	4	4	2	2
AT2G02500.1	1	0	0	1	0	0
AT1G48860.1	0	0	1.7	2.7	0	0
AT5G48960.1	3	2	1	2	0	1
AT3G48560.1	1	3	2	8	8	13
AT5G36880.2	6	3	2	0	0	4
AT1G80600.1	8	3	4	4	2	6
AT5G04740.1	1	0	0	2	1	4
AT4G25050.1	5	6	9	4	5	7
AT2G43710.1	5	4	0	5	5	7.5
AT5G47840.1	2	2	0	0	4	2
AT4G18440.1	0	0	0	0	0	5
AT5G48300.1	15	7	10	9	10	14
AT5G19220.1	11	11	4	11	12	11
AT2G35040.1	0	5	4	4	3	7
AT2G27680.1	9	6	4	4	6	8
AT5G66530.1	0	0	0	2	1	3
AT5G22510.1	0	1	0	0	2	3
AT1G69830.1	8	5	1	5	13	18
AT4G33680.1	17	9	10	16	13	15
AT1G70570.1	0	0	0	0	1	2
AT5G17990.1	0	2	1	2	6	4
AT2G29690.1	0	1	0	0	1	0
AT4G24830.1	7	8	8	10	11	9
AT4G26300.1	8	8	5	7	6	10
AT4G31990.1	13.5	13.6	13	17	15.6	21.2
AT1G31230.1	9	9	2	6	6	16.7
AT3G18680.1	2	2	0	6	10	13
AT1G08490.1	0	0	0	0	2	2
AT3G10670.1	3	2	1	4	3	6
AT2G41680.1	1	2	1	0	1	0
AT5G18570.1	0	0	0	2	0	2
AT1G58080.1	0	1	1	1	3	8
AT1G09795.1	1	2	0	0	0	1
AT3G22890.1	4	3	0	1	3	0
AT5G14740.2	101.5	87.5	58.8	87.2	134.1	122.3
AT4G17090.1	8	6	8	6	6	4
AT3G01500.3	97.5	94.5	20.6	115.8	120.9	133.2
AT5G10160.1	0	4	0	3	0	6
AT5G16390.1	0	0	3	0	1	0
AT3G49680.2	7	6	5.3	7	4	10
AT1G29900.1	47	36	38	40	35	45
AT2G38270.1	1	0	0	0	2	3
AT4G34120.1	0	0	0	1	0	2
AT3G20330.1	0	2	0	0	0	0
AT4G24770.1	21	15	14	21	27	36
AT5G15450.1	22	20	9	30.8	24.7	36.9
AT5G51070.1	2.3	1.1	3.4	3.5	4.5	6.8
ATCG00670.1	4	4	3	5	5	6
AT1G66670.1	3	2	2	5	6	8
AT5G45390.1	17	14	16	33	26	40
AT1G02560.1	2	3	3	9	8	9
AT1G11750.1	6	8	6	4	10	5
AT1G49970.1	1	0	0	0	2	3
AT1G12410.1	0	0	0	0	3	0
AT1G09130.1	2	2	4	4	5	8
AT4G17040.1	5	6	3	4	6	7
AT4G25370.1	2	1	2	0	0	0
AT4G12060.1	7	1	4	4	2	5
AT3G62410.1	2	0	2	2	2	2
AT4G24280.1	46.7	42.1	40	59.5	56.8	66.2
AT5G49910.1	20.3	24.9	21	47.5	17.2	62.8
AT2G04030.1	45.7	45.7	41.5	88.5	96.4	126.6
AT2G44650.1	0	0	0	2	4	5
AT5G20720.1	27	29	25	42	46	39
AT5G18820.1	0	0	0	0	1	1
AT2G28000.1	139	140	120	249	249.7	369.8
AT5G03940.1	1	2	0	1	1	5
AT3G05350.1	2	6	3	5	6	8
AT1G12520.1	2	2	1	5	8	14
AT2G43750.1	40	51	35	28	36	42
AT3G19480.1	2.5	0	0	0	1.3	0
AT5G35970.1	10	7	5	7	7	9
AT2G47940.2	10	10	5	5	6	8
AT5G16710.1	4	4	4	2	5	5
AT3G53580.1	2	1	0	3	2	2
AT2G44040.1	2	3	1	4	2	5
AT3G23940.1	8	6	7	11	7	11
AT1G14410.1	2	2	0	3	6	4
AT3G08740.1	2	1	2	9	6	6
AT5G13650.1	19	16	19	50	43	44
AT4G20360.1	147	137	131	228	202	226
AT5G08650.1	2	6	5	5	5	13
AT1G62750.1	77	63	46	75	92	126
AT2G05990.1	28	15	8	14	19	15
AT5G01600.1	0	0	0	2	4	2
AT3G54050.1	45	49	35	35	21	37
AT2G21330.1	68.2	85.2	52	71.6	104.7	100.8
AT2G36250.1	6	4	0	3	6	9
AT4G23100.1	1	3	1	1	2	2
AT4G36810.1	5	3	5	5	5	10
AT5G35790.1	0	0	0	0	0	3
AT4G24620.1	4	5	0	1	3	7
AT2G37500.2	1	1	2	1	1	1
AT5G63570.1	14.2	20.9	14.3	18.2	14.1	17.4
AT3G48730.1	31.8	20.1	12.7	25.8	16.9	27.6
AT5G35630.1	62	54	34	38	34	37.8
AT3G15660.1	0	0	0	0	0	2
AT2G20270.1	4	3	4	0	5	2
AT2G25080.1	2	3	3	1	0	1
AT3G54660.1	0	0	0	0	1	1
AT3G55040.1	0	0	1	1	0	2
AT3G26650.1	111.6	88.2	98.8	117	112.7	138.6
AT1G12900.1	73.1	70.7	72.4	98.5	84.7	109.6
AT1G42970.1	87.4	73.1	65.7	70.7	80.7	108.9
AT1G80380.4	13	10	7	5	5	9
AT1G63770.3	20	15	15	17	27	26
AT1G17650.1	7	8	2	9	12	12
AT5G17710.1	9	10	5	11	11	13
AT1G36390.1	2	4	1	1	1	2
AT1G56500.1	18	19	20	5	16	28
AT3G48420.1	8	5	5	10	14	16
AT4G39970.1	8	4	6	6	6	8
AT3G24430.1	3	3	1	3	2	5
AT1G09340.1	37	27	26	39	43	49
AT5G63890.2	4	4	2	1	6	6
AT1G52510.1	4	4	4	4	3	3
AT5G08280.1	27	31	20	25	25	33
AT5G49030.3	15	20	12	12	18	19
AT5G51100.1	4	3	2	4	3	4
AT4G09020.1	0	0	0	0	2	1
AT4G13430.1	5	4	4	5	11	10
AT2G43090.1	0	3	2	6	10	8
AT5G46290.1	4	3	5	5	7	11
AT3G58610.1	43	37	32	64	64	87
AT5G45170.1	9	12	4	2	6	6
AT4G04350.1	0	0	1	0	3	3
AT3G45140.1	58	58	43	70	67	108
AT3G47520.1	20.3	20.9	12.6	16.6	20.4	24.4
AT5G58330.1	14	13	13	13	13	14
AT2G30200.1	11	14	12	12	13	20
ATCG00040.1	0	0	0	1	0	1
AT4G25130.1	4	4	2	10	12	8
AT4G18480.1	6.4	4	3	4.5	13.3	19.2
AT3G57560.1	0	0	1	1	3	4
AT2G19940.1	4	5	1	1	4	4
AT1G21640.1	1	1	0	0	0	0
AT1G23740.1	23	23	15	18	20	28
AT5G63310.1	3	3	4	4	4	7
AT2G15620.1	22	22	20	23	24	31
AT3G62030.1	28	38	53	69	84	91
AT3G52960.1	17	19	14	16	19	23
AT1G66430.1	3	4	0	1	1	8
AT5G26570.1	17	11	19	25	21	29
AT1G70820.1	8	9	4	3	4	5
AT5G17530.1	0	1	3	1	0	2
AT3G12780.1	224.9	195.4	184.4	181.6	197.8	286.7
AT1G56190.2	19.4	18.1	14.7	20	6.5	23
AT4G21210.1	5	3	0	2	3	3
AT1G31860.1	2	0	1	0	0	0
AT3G55010.1	0	2	2	2	2	4
AT1G32060.1	30	23	21	31	28	36
AT4G35630.1	6	2	2	2	2	2
AT5G55280.1	4	2	0	6	7	6
AT5G51820.1	22	24	18	17	23	24
AT1G24360.1	14	7	13	10	12	11
AT1G69740.1	9	6	7	9	10	14
AT1G80480.1	0	0	0	0	1	2
AT3G44620.1	0	0	0	0	0	2
AT5G65840.1	0	0	0	0	1	2
AT5G58770.1	1	1	0	0	2	2
AT3G63190.1	3	5	6	2	10	2
AT2G35410.1	7	7	8	10	9	8
AT3G22960.1	9	11	7	14	23	24
AT5G52920.1	9	14	7	23	22	17
AT4G15530.1	1	1	0	0	1	3
AT3G63140.1	2	2	2	4	5	6
AT5G61410.1	10	12	14	27	33	46
AT4G39040.1	0	1	0	2	1	3
AT3G53460.1	12	16	12	25	29	34
AT2G37220.1	24	20	22	36	28	28
AT4G09040.1	5	7	6	12	17	10
AT1G60000.1	2	0	0	1	1	2
AT3G52380.1	9	7	10	14	19	18
AT4G16390.1	2	0	0	6	8	6
AT5G63420.1	4	5	0	5	8	18
AT2G39730.1	271	245	216	265	293	373
ATCG00490.1	990	1022	712	1012	964	1283
AT5G38430.1	28.3	27.1	23.9	20.4	24.8	28
AT5G38420.1	28.3	18.6	20.9	38.7	15.7	23.8
AT5G38410.1	26.6	18.6	17.6	34.6	48.7	86.2
AT1G67090.1	76.2	85.4	75.6	93.3	98.6	109.2
AT1G12800.1	10	10	7	11	12	18
AT3G23700.1	0	1	0	1	3	1
AT3G55800.1	34	25	18	20	22	37
AT3G26900.1	4	2	2	2	5	5
AT2G35500.1	0	4	0	4	5	5
AT1G17050.1	0	0	0	1	0	3
AT5G03650.1	1	0	0	0	0	3
AT3G29320.1	25	27	21	22	30	32
AT5G24300.1	6	4	0	2	2	3
AT1G11720.1	2	0	1	1	0	0
AT5G42390.1	17	6	12	35	43	40
AT4G20850.1	27	20	22	25	20	24
AT5G04590.1	18	17	17	14	16	17
AT2G29630.1	6	6	6	9	10	8
AT1G76080.1	6	3	4	10	17	22
AT5G16400.1	1	0	0	0	0	2
AT1G50320.1	2	2	2	2	3	2
AT1G43560.1	2	4	2	3	2	2
AT4G29840.1	1	2	1	0	2	6
AT2G47390.1	7	13	9	18	11	31
AT1G12230.1	1	1	0	1	2	3
AT5G13420.1	3	4	1	1	2	2
AT3G60750.1	296	307	244	319	324	424
AT1G17220.1	24	20	21	37	34	36
AT5G55220.1	6	14	9	16	16	20
AT2G21170.1	26.5	23	20.5	22.3	32.2	34
AT3G54640.1	0	0	0	1	1	4
AT4G33030.1	4	5	0	0	6	5
AT2G21385.1	2	2	2	1	1	0
AT2G31890.1	1	1	1	7	4	3
AT2G39080.1	0	0	0	0	1	2
AT2G45990.1	5	6	2	7	6	9
AT3G04550.1	0	0	0	1	3	4
AT4G34090.1	3	5	3	1	3	1
AT4G38225.1	3	2	0	0	3	1
AT5G13030.1	2	0	2	5	2	3
AT5G28500.1	1	4	1	6	4	10
AT5G51110.1	0	0	0	1	3	4
AT4G31530.1	0	0	2	0	0	2
AT4G30720.1	1	0	0	0	0	4
AT5G14910.1	5	8	7	9	9	9
AT1G62780.1	1	0	2	0	2	3
AT2G35450.1	0	1	0	0	1	2
AT2G24020.1	3	3	2	1	2	1
AT3G53900.1	0	0	1	1	1	4
AT2G40490.1	16	14	10	17	17	22
AT3G14930.1	2	0	2	1	2	3
AT4G18810.1	0	0	0	0	0	3
AT5G16715.1	5	8	5	5	11	16
AT1G10760.1	39	36	28	42	50	44
ATCG00520.1	2	1	0	4	4	3
AT2G25830.1	3	2	2	2	3	3
AT1G04420.1	8	8	6	3	3	6
AT1G14810.1	8	4	6	4	5	2
AT1G03475.1	7	9	4	5	5	10
AT1G11430.1	2	1	0	4	0	0
AT1G15140.1	4	5	6	4	3	9
AT1G01080.1	6	0	3	6	3	6
AT4G04020.1	9.1	12.4	9.6	25.2	41	38.3
AT4G22240.1	6.9	5.6	2.4	15.8	22	22.8
AT2G35490.1	4	4	4	7	6	7
AT3G23400.1	16	17	16	18	12	25
AT3G58010.1	0	0	0	1	2	1
AT2G42130.4	10	17	5	18	21	22
AT1G32220.1	4	3	2	6	7	11
AT4G38970.1	122.7	91.7	71.1	125.3	120.7	148.2
AT4G39730.1	2	1	0	3	0	1
AT4G13200.1	4	0	3	0	0	2
AT4G31390.1	0	0	0	0	1	2
AT1G79600.1	0	0	0	1	5	9
AT3G24190.1	0	0	0	0	0	5
AT5G05200.1	0	0	0	2	1	2
AT1G06690.1	1	2	0	2	2	4
AT4G19170.1	5	6	3	6	11	14
AT2G46910.1	4	1	1	6	5	6
AT2G34460.1	11	14	7	16	16	16
sum75	0	0	0	2	2	4
AT5G64300.1	1	1	1	4	4	4
AT5G66120.2	0	0	1	1	0	1
AT2G45300.1	4	6	8.3	1.3	4	7
AT1G64190.1	2	1	0	3	3	4.7
AT1G73110.1	3	3	0	1	4	4
AT5G20250.1	0	0	0	1	4	4
AT1G57770.1	0	0	0	0	1	1
AT4G19710.2	2	0	0	3	3	12.3
AT3G08010.1	2	0	0	0	0	1
AT1G48850.1	0	2	1	0	1	0
AT1G70070.1	6	3	1	16	15	11
AT3G06350.1	1	0	1	2	0	2
AT2G01140.1	5.1	2.1	0	0	2	2.1
AT2G47730.1	4	4.2	3	3	2	7.2
AT4G02520.1	16	15.8	16	11	12	12.8
AT1G16720.1	5	7	2	4	6	8
AT2G26670.1	0	0	0	2	0	2
AT4G29590.1	0	0	0	0	2	2
AT5G45930.1	1.6	0	0	4.5	1.7	4.8
AT5G53460.1	44	39	24	45	55	86
AT4G33500.1	0	6	2	1	3	3
AT2G20690.1	0	1	0	1	0	0
AT5G14260.1	3	6	0	3	3	12
AT3G10050.1	1	2	0	0	0	2
AT1G16080.1	21	28	14	19	20	29
AT5G42650.1	7	14	10	7	9	18
AT5G38660.1	8	8	6	4	1	2
AT3G26710.1	12	13	12	12	8	8
AT3G51820.1	1	3	0	1	3	2
AT3G14110.1	1	1	0	2	0	2
AT1G74470.1	19	15	11	20	16	22
AT5G03880.1	16	8	7	13	8	16
AT1G42960.1	0	1	0	0	2	2
AT5G38520.1	2	2	2	1	2	3
AT1G80030.1	2	0	1	4	5	2
AT3G47860.1	0	1	0	1	1	1
AT1G64770.1	2	3	2	0	0	2
ATCG01110.1	11	11	8	3	1	5
ATCG00430.1	0	2	1	0	0	1
AT2G46820.1	3	5	3	4	5	6
AT5G07020.1	4	4	5	6	4	5
AT2G42220.1	4	3	3	4	1	3
AT4G27700.1	5	5	3	1	0	1
AT1G71500.1	15	15	17	17	15	20
AT4G28740.1	1	2	0	0	0	3
AT1G52220.1	6	4	2	3	2	1
AT5G20140.1	1	1	0	0	0	1
AT4G01050.1	4	8	9	4	4	6
AT3G18890.1	17	22	23	20	21	20
AT1G65230.1	2	1	0	0	0	1
AT1G74730.1	2	2	3	3	3	2
AT2G23670.1	6	4	5	4	4	4
AT3G12345.1	1	0	0	0	3	5
AT3G59780.1	16	14	7	4	10	10
AT5G08050.1	6	4	4	4	4	4
AT5G37360.1	9	5	11	6	8	4
AT5G48790.1	0	0	0	0	0	2
AT3G46780.1	26	31	23	18	21	36
AT5G17170.1	2	2	0	3	2	3
AT4G35250.1	17	11	10	9	12	11
AT5G44650.1	2	2	2	2	2	2
AT5G67030.1	10	13	6	5	5	15
sum18	209.8	286.2	83.4	199.3	216.8	245.7
sum37	127.4	124.1	140.2	132.9	130.3	162.1
sum82	57.4	18	123.2	68.8	71.6	58.6
AT2G28800.1	3	2	0	0	1	0
ATCG00130.1	28	30	30	19	19	16
AT4G32260.1	4	2	2	1	1	3
ATCG00140.1	4	7	1	5	2	15
ATCG00150.1	16	7	8	1	8	24
AT2G18710.1	5	3	1	2	3	7
AT1G50250.1	30.7	33.3	14.5	11.3	19.7	31.1
AT2G30950.1	70	77	72.3	73	89	104.7
AT5G42270.1	73.3	81.7	64.5	74.8	70.3	78.9
AT1G06430.1	1	0	2.7	0	4	4.3
AT1G03160.1	2	7	5	9	3	9
AT3G54890.1	8	5	5	7	6	10
AT3G61470.1	18	13	6	10	14	15
AT1G61520.1	38	34	28	30	38	38
AT3G47470.1	55	41	33	30	29	33
AT1G45474.1	6	4	5	2	4	3
AT1G19150.1	0	1	0	0	1	0
AT5G54270.1	92.2	69.5	56.5	104.7	92.7	110.8
AT5G01530.1	171.9	149.7	149.5	117.3	119.7	142
AT3G08940.2	98.1	103.3	96.5	55.7	67.3	92.9
AT2G40100.1	2	0	1	5	7.1	13.1
AT4G10340.1	128	118	123	107	90	134
AT1G15820.1	119	130	100	55	90	87
AT4G17600.1	0	0	0	0	0	2
ATCG01100.1	12	17	13	4	4	5
AT5G21430.1	2	3	2	0	0	0
AT1G34000.1	4	4	4	3	3	5
ATCG00540.1	41	33	26	25	35	41
ATCG00720.1	69	64	55	51	53	59
ATCG00730.1	5	4	6	3	6	12
AT2G26500.1	0	0	0	0	1	2
AT4G22890.1	26	29	32	17	24	28
ATCG00350.1	109	105	82	74	94	128
ATCG00340.1	203	207	197	165	194	196
AT1G31330.1	36	38	25	20	27	25
AT1G55670.1	9	7	6	1	2	6
AT3G16140.1	8	5	0	1.5	2	2
AT1G52230.1	0	0	5	1.5	2	2
AT1G30380.1	2	2	0	0	0	2
AT4G12800.1	47	59	34	31	40	52
AT1G08380.1	1	5	3	4	6	8
ATCG00020.1	104	93	70	78	72	95
ATCG00680.1	378	378	410	314	312	302
ATCG00280.1	230	207	185	175	192	220
ATCG00270.1	195	206	201	164	159	170
ATCG00580.1	11	10	11	7	4	6
ATCG00710.1	6	4	3	3	4	5
ATCG00560.1	4	2	6	1	0	3
AT1G79040.1	6	7	1	1	4	5
AT1G44575.1	34	71	50	33	30	63
AT1G51400.1	2	1	0	0	0	0
AT1G22700.1	0	1	1	2	2	3
AT1G54500.1	2	1	0	1	0	0
AT5G12130.1	0	0	0	0	2	4
AT1G77490.1	2	2	0	0	0	0
AT1G14345.1	2	2	1	2	0	2
AT4G01150.1	26	20	20	19	8	14
AT5G45680.1	1	0	0	0	0	5
AT3G27925.1	11	5	0	0	2	5
AT5G23120.1	17	17	12	15	11	16
AT3G10060.1	2	2	1	0	0	2
AT3G56650.1	0	0	0	0	2	2
AT1G77090.1	0	2	0	0	0	0
AT5G53490.1	10	11	8	9	9	12
AT3G15520.1	2	2	3	0	1	1
AT5G13120.1	2	3	4	5	3	5
AT4G03280.2	8	0	4	10	9	11
AT1G20340.1	2	2	2	2	2	2
AT3G24590.1	0	0	1	2	1	3
AT5G64040.1	14	13	6	7	5	10
AT5G66570.1	38.8	50.5	29.3	15.3	32.9	31.4
AT3G50820.1	33.2	44.5	22.7	26.7	32.1	32.6
AT1G06680.2	55	73	62	56	50	69
AT4G21280.1	35.9	28.7	25	27.8	29	34
AT4G05180.1	22.1	25.3	27	9.3	12	17
AT1G03600.1	3	5	3	1	1	0
AT4G24930.1	1	1	0	0	0	0
AT1G54780.1	14	17	16	15	12	17
AT2G44920.2	2	0	1	1	3	3
AT4G02530.1	4	6	4	7	4	6
AT4G09010.1	23	25	15	23	25	30
AT3G01480.1	11	10	7	6	6	11
sum52	9	10	11	12	10	12
AT1G73060.1	22	16	16	12	14	12
ATCG01010.1	11	2	3	2	2	7
ATCG01090.1	2	2	2	2	0	0
ATCG01060.1	9	7	4	5	5	9
AT4G28750.1	3	6	5	0	3	4
AT3G11630.1	16	12.3	12.5	25.5	29.6	31.6
AT5G60600.1	34	31	25	37	59	72
AT3G25770.1	3	0	4	0	0	0
ATCG00120.1	413.7	412.7	412	263.9	256.9	412.6
ATCG00480.1	386.3	372.1	359.9	258.6	287	392.9
AT4G09650.1	39	36	37	28	27	25
ATCG00470.1	10	10	8	9	8	5
AT4G04640.1	65	67	62	55	47	78
AT2G28190.1	2	0	2	5	4	4
AT4G01800.1	25	34	33	30	59	64
AT3G56940.1	20	12	15	14	11	28
AT3G20390.1	6	8	7	7	2	8
AT1G10960.1	0	0	0	3	0	2
AT1G60950.1	0	2	0	4	0	3
AT1G51110.1	0	2	3	3	2	0
AT5G19940.1	5	5	4	5	5	8
AT5G66190.1	29	28	31.3	28.5	36.1	42
AT1G20020.1	23	25	16.7	27.5	22.9	31
AT1G67280.1	8.4	8	2.3	9	9.9	10.9
AT5G09650.1	10	8	4	9	8	11
AT3G21200.1	0	0	0	3	5	6
AT4G27440.1	32.7	27.7	13	13	21	21.8
AT1G03630.1	7.3	6.3	2	2	4	5.2
AT3G04790.1	19	19	10	25	23	30
AT2G20890.1	11	14	8	12	18	19
AT3G02730.1	6	2	2	2	2	2
AT1G03680.1	4	3	4	5	4	4
AT4G03520.1	5	4	4	3	2	3
AT3G47070.1	4	4	2	2	2	3
AT1G55480.1	14	13	11	8	11	11
AT2G21530.1	2	3	1	1	0	1
AT1G16880.1	8	7	5	13	12	13
AT1G65260.1	7	5	8	5	7	8
AT4G34620.1	0	0	0	4	1	1
AT1G50200.1	9	8	6	10	7	11
AT5G22800.1	33	31	28	27	42	49
AT4G17300.1	1	2	3	3	2	2
AT3G19170.1	67	68	57	0	0	0
AT5G23060.1	22	23	20	15	15	21
AT3G23070.1	0	0	0	5	4	2
AT3G10690.1	0	0	0	0	0	2
AT4G31210.1	1	0	0	1	3	2
AT5G04140.2	329	309	317	385	415	471
AT1G74260.1	28	18	17	10	18	18
AT5G53170.1	3	5	1	1	2	5
AT5G64050.1	0	0	0	1	0	2
AT1G48520.1	0	0	1	0	1	8
AT3G48110.1	14	21	26	32	26	37
AT3G46100.1	0	0	2	1	0	0
AT5G65620.1	20	16	13	16	14	15.7
AT1G13270.1	2	4	2	2	3	4
AT3G55400.1	0	0	0	0	2	4
AT1G63940.2	13	11	12	21	17	25
AT3G62530.1	4	1	1	1	1	3
AT5G14660.1	0	2	0	0	0	2
AT3G58140.1	4	5	3	3	2	5
AT4G37000.1	4	2	4	3	5	5
AT4G08390.3	3	2	2	4	5	2
AT5G54770.1	25	21	14	102	84	157
AT2G04842.1	0	3	0	0	6	7
AT3G02660.1	1	0	0	0	2	2
AT4G33760.1	0	1	0	4	2	1
AT3G13490.1	1	0	0	4	4	5
AT5G52520.1	2	2	0	3	4	4
