Acc	wt-1	wt-2	wt-3	mut-1	mut-2	mut-3
AT3G56070.1	0	1	0	0	0	1
AT3G28200.1	0	2	0	0	3	2
AT2G31390.1	2	1	0	0	0	0
AT2G17930.1	0	0	0	0	2	3
AT5G64460.1	0	1	0	0	0	2
AT4G36080.1	0	4	0	0	0	0
AT4G23400.1	11.7	5.1	0	1	2.1	10.2
AT2G39010.1	16	14	5	6	12	10
AT2G16850.1	0	0	0	2	0	0
AT4G17140.3	40	18	9	8	9	19
AT2G28290.1	5	0	1	0	0	2
AT1G75040.1	1	2	1	0	0	0
AT3G56110.1	2	1	0	0	1	2
AT2G25950.1	2	0	0	0	1	3
AT3G19340.1	0	0	2	0	0	1
AT2G20630.2	12	9	5	3	8	6
AT1G13320.1	0	0	4	8.2	4.9	8.7
AT3G59020.1	0	3.3	4.5	2	5	6.7
AT2G16950.1	5	4	7	7	8	12
AT4G32760.1	3	4	2	2	2	3
AT5G10480.1	0	0	0	0	0	2
AT1G56700.1	0	0	0	0	2	0
AT1G12000.1	3	3.5	2	2	2	3
AT5G14800.1	0	2	0	1	2	6
AT5G54960.1	0	2	0	0	0	0
AT3G59920.1	1	0	0	0	0	1
AT4G17170.1	4	2	0	0	0	5
AT3G15060.1	2.4	1.6	0	4	0	0
AT5G40170.1	3	1	0	0	0	1
AT1G58060.1	0	0	0	0	2	0
AT2G47250.1	0	0	0	2	0	2
AT5G16840.1	0	0	0	2	0	0
AT4G03430.1	0	0	1	0	0	2
AT1G67950.1	1	2	0	0	0	0
AT2G30520.1	1	1	0	0	0	0
AT5G63840.1	0	2	4	1	5	2
AT4G33110.1	0	1	1	0	0	0
AT5G64030.1	0	1	3	0	0	0
AT5G49810.1	14	21	13	11	11	14
AT4G39680.1	0	1	0	0	0	1
AT5G27120.1	0	0	0	0	2	0
AT3G05060.1	0	1	0	0	3	5
AT5G12370.1	0	1	1	0	2	1
AT1G72160.1	6	2	1	0	3	7
AT4G32640.1	4	2	0	0	0	0
AT3G10380.1	2	3	2	3	3	0
AT4G14030.1	3	1	2	3	4	4
AT3G25800.1	2.3	7.3	4	0	2.4	2.9
AT1G17720.1	1	0	2	0	0	0
AT1G50370.1	0	0	0	0	2	0
AT5G36210.1	5	7	3	3	7	7
AT2G07360.1	4	0	1	2	2	2
AT4G39540.1	0	0	0	1	0	1
AT2G29340.1	3	1	0	0	5	5
AT5G61970.1	1	3	0	2	3	4
AT1G30470.1	5	3	0	4	3	5
AT3G45190.1	2	4	0	0	3	2
AT4G22010.1	4	4	1	3	2	1
AT1G65700.1	0	0	0	0	2	1
AT1G20330.1	2	2	0	0	2	1
AT1G70310.1	5	9	0	0	3	2
AT4G38780.1	4	10.5	5.5	0	5	5
AT5G64270.1	5	1	0	3	8	5
AT1G14650.1	0	4	0	0	0	2
AT1G24510.1	5	8	4	5	4	7
AT4G28080.1	34.1	9.6	17.6	9.3	19.3	31.3
AT1G01320.1	32.9	36.4	22.4	35.7	37.8	46.7
AT4G22670.1	4	3	1	1	3	1
AT4G10840.1	3	3	2	2	2	3
AT1G66100.1	2	2	0	0	0	0
AT4G04950.1	0	0	0	0	0	2
AT5G18410.1	2	2	1	0	0	0
AT5G18230.1	2	3	0	2	2	2
AT1G02080.2	4	2	1	4	8	8
AT3G18060.1	1	0	1	0	0	0
AT3G18860.1	2	0	0	0	0	3
AT3G50590.1	2	3	2	0	2	2
AT2G37020.1	2	3	0	0	2	1
AT1G05520.1	0	0	1	1	0	0
AT1G72550.1	1	2	3	0	0	3
AT2G40660.1	0	0	0	0	0	2
AT2G29290.2	0	0	0	0	1.2	2.3
AT2G29360.1	0	1	1	1.2	2.4	1.2
AT2G29550.1	3.5	3.2	0	0	5	0
AT5G56260.1	0	0	0	0	0	2
AT3G13235.1	0	0	0	0	2	0
AT3G02260.1	53	28	9	8	21	20
AT3G11910.1	7	0	2	2	1	0
AT5G06600.1	0	3	0	2	0	0
AT4G10790.1	0	0	0	0	1	2
