Name,STN,pVal
sum19,-0.7074,0.0724
AT4G28080.1,0.6998,0.0732
sum18,-0.6973,0.0734
AT3G02720.1,0.6959,0.0739
AT2G44050.1,0.6959,0.0739
AT2G24060.1,-0.6959,0.0765
AT2G34040.1,-0.6959,0.0765
ATCG01090.1,-0.6959,0.0765
AT1G01960.1,0.6933,0.077
sum41,0.692,0.077
AT1G63770.3,0.6919,0.0771
sum43,-0.6902,0.0772
AT3G18060.1,0.6863,0.0778
AT5G57290.1,0.6863,0.0778
AT2G32240.1,0.6835,0.0786
AT1G41830.1,-0.6807,0.0791
AT5G49030.1,-0.6793,0.0796
AT3G60370.1,-0.6793,0.0796
AT1G29470.1,0.6789,0.0797
sum58,0.6789,0.0797
AT1G14850.1,0.6789,0.0797
AT1G02500.1,-0.6712,0.0809
AT1G01320.1,0.6708,0.0811
AT5G13630.1,0.6706,0.0811
AT2G44350.1,0.6702,0.0812
AT5G06060.1,0.6702,0.0812
AT3G54660.1,0.6702,0.0812
AT5G16390.1,0.6702,0.0812
AT1G53280.1,-0.6702,0.0821
AT2G04400.1,-0.6702,0.0821
AT1G48920.1,-0.6702,0.0821
AT3G62120.1,-0.6671,0.0825
AT1G62750.1,0.6667,0.0826
AT5G19940.1,-0.6662,0.0827
AT5G67360.1,0.6657,0.0828
AT1G12270.1,0.664,0.0831
AT5G60160.1,0.664,0.0831
AT4G18930.1,0.664,0.0831
AT4G26500.1,0.664,0.0831
AT1G15340.1,0.664,0.0831
AT3G08947.1,0.664,0.0831
AT4G15530.1,0.664,0.0831
AT1G06900.1,0.664,0.0831
AT1G64980.1,0.664,0.0831
AT1G02140.1,0.664,0.0831
AT3G44110.1,0.664,0.0831
AT5G45170.1,0.664,0.0831
AT3G18600.1,0.664,0.0831
AT3G02260.1,0.664,0.0831
AT2G35780.1,-0.664,0.086
AT2G40600.1,-0.664,0.086
AT3G20330.1,-0.664,0.086
AT2G24050.1,-0.664,0.086
AT3G07460.1,-0.664,0.086
AT3G51870.1,-0.664,0.086
AT2G32080.1,-0.664,0.086
AT4G02840.1,-0.664,0.086
AT1G21630.1,-0.664,0.086
AT5G58590.1,-0.664,0.086
AT1G15710.1,-0.664,0.086
AT1G30540.1,-0.664,0.086
AT3G06730.1,-0.664,0.086
AT1G64520.1,-0.6629,0.0861
AT4G39730.1,0.6633,0.0861
AT3G46010.1,0.6629,0.0862
AT5G17530.1,0.6601,0.0865
AT4G20980.1,0.6586,0.0867
AT1G50480.1,0.6553,0.087
AT1G03475.1,-0.6548,0.0871
AT5G16050.1,-0.6545,0.0871
AT5G17920.1,0.6533,0.0873
AT4G34050.1,-0.6524,0.0874
ATCG00150.1,-0.6522,0.0875
AT5G22800.1,0.6522,0.0875
AT5G64290.1,-0.6521,0.0877
AT1G19570.1,0.6488,0.0882
sum90,0.6484,0.0882
AT1G02080.1,0.6484,0.0882
AT5G37360.1,-0.6484,0.0886
ATCG00540.1,-0.648,0.0887
AT4G01850.1,0.647,0.0889
AT2G43090.1,0.644,0.0891
AT3G44310.1,-0.642,0.0893
AT4G37925.1,0.6407,0.0895
AT1G79600.1,0.6407,0.0895
AT1G54010.1,-0.6407,0.0903
AT3G20000.1,-0.6401,0.0908
AT3G22230.1,0.6385,0.0913
AT1G53310.1,0.6369,0.0915
AT5G65020.1,-0.6329,0.0921
AT1G29660.1,-0.6314,0.0926
AT4G18100.1,0.6311,0.0927
AT1G71500.1,-0.6302,0.0927
AT3G17240.1,0.6305,0.0928
ATCG00470.1,-0.6282,0.0929
AT5G66570.1,0.6288,0.093
AT4G05180.1,0.6278,0.093
AT5G02790.1,0.6272,0.0931
AT3G01500.1,0.6244,0.0934
AT1G65960.2,0.6213,0.0939
AT5G17990.1,0.6211,0.0941
AT3G63160.1,-0.6211,0.0943
AT3G01280.1,-0.6206,0.0943
AT3G52300.1,-0.6202,0.0944
AT5G38430.1,-0.6164,0.095
AT5G20720.1,0.6167,0.0951
AT2G31670.1,0.615,0.0952
AT4G25130.1,0.615,0.0952
AT3G46830.1,-0.6133,0.0961
AT1G56450.1,0.6095,0.0965
AT5G64460.1,0.6072,0.0969
AT3G57290.1,0.6072,0.0969
AT1G63660.1,-0.6072,0.0972
AT1G13280.1,-0.6068,0.0972
AT5G01530.1,-0.6009,0.0985
sum82,0.6009,0.0986
AT1G80480.1,0.6009,0.0986
AT1G73600.1,0.6009,0.0986
AT2G07360.1,-0.6009,0.0994
AT2G18040.1,-0.6009,0.0994
AT2G38170.1,-0.6009,0.0994
AT3G07160.1,0.6003,0.0995
AT3G23990.1,0.5991,0.0998
AT1G75350.1,0.598,0.0999
AT4G36760.1,0.5975,0.1001
AT5G14030.1,0.5975,0.1001
AT5G41210.1,0.5975,0.1001
sum44,0.5975,0.1001
AT5G24710.1,0.5975,0.1001
AT3G55360.1,0.5975,0.1001
AT2G44640.1,-0.5975,0.1004
AT4G01883.1,-0.5975,0.1004
AT2G30930.1,-0.5975,0.1004
AT4G35250.1,-0.5973,0.1004
AT3G19710.1,-0.5969,0.1009
AT1G63000.1,-0.5969,0.1009
AT1G24020.1,0.5969,0.101
AT1G31330.1,0.5967,0.101
AT2G21390.1,0.5966,0.101
AT5G49460.1,-0.5946,0.1015
AT1G09310.1,-0.5914,0.1018
AT1G34430.1,0.5891,0.1023
AT3G49910.1,-0.5886,0.1023
AT5G26830.1,0.5886,0.1023
AT4G31700.1,-0.5878,0.1025
AT5G06460.1,0.5872,0.1027
AT4G27440.1,-0.5867,0.1028
AT4G23850.1,0.5835,0.1033
AT2G01140.1,-0.5814,0.1037
AT5G23250.1,-0.5809,0.1038
AT2G44060.1,-0.5808,0.1038
AT2G35370.1,0.5809,0.1039
AT3G48110.1,-0.5797,0.104
AT1G32220.1,0.5787,0.1042
AT2G27530.1,0.5763,0.1049
AT1G23820.1,-0.5755,0.1049
AT5G26000.1,0.5751,0.1052
AT1G18060.1,0.575,0.1052
AT5G16440.1,-0.575,0.1055
AT2G19480.1,-0.575,0.1055
AT3G28715.1,-0.574,0.1056
AT3G53460.1,-0.5737,0.1056
AT4G09000.1,-0.572,0.1059
AT3G27240.1,-0.572,0.1059
AT3G15980.1,0.5689,0.1065
AT4G10320.1,0.5677,0.1067
AT1G08200.1,0.5657,0.1074
sum9,0.5641,0.1077
AT1G30690.1,0.5621,0.1082
AT3G22200.1,0.5621,0.1082
AT5G08530.1,-0.5621,0.111
AT4G12730.1,0.5616,0.1112
AT5G63860.1,0.5616,0.1112
AT1G18070.1,-0.5616,0.1169
ATMG00160.1,-0.5616,0.1169
AT1G79870.1,-0.5616,0.1169
AT5G38520.1,-0.5616,0.1169
AT2G15290.1,-0.5616,0.1169
sum112,-0.5616,0.1169
AT4G37200.1,-0.5616,0.1169
AT1G30400.1,-0.5616,0.1169
AT1G15290.1,-0.5606,0.1175
sum207,0.5587,0.1178
AT1G13320.1,0.5582,0.1179
AT4G18810.1,0.5552,0.1182
AT1G12250.1,-0.5539,0.1189
AT4G26690.1,0.5529,0.1195
AT4G03520.1,0.5513,0.1197
AT3G26720.1,0.5509,0.1198
AT5G60360.1,0.5509,0.1198
AT5G41790.1,0.5509,0.1198
AT5G23820.1,-0.5509,0.1208
AT3G06350.1,-0.5509,0.1208
AT2G25830.1,-0.5509,0.1208
AT2G46650.1,-0.5509,0.1208
sum204,0.5498,0.1212
sum28,0.5497,0.1213
AT5G27850.1,-0.5488,0.1213
sum214,0.5471,0.1216
AT3G11630.1,-0.5434,0.122
