protein_id,val,gen,rep
AT1G54570.1,0.027281481,k1,rep2
AT1G06690.1,0.003744517,k1,rep2
AT5G41120.1,0.006954103,k1,rep2
AT1G28150.1,0.003209586,k1,rep2
AT3G26840.1,0.008023965,k1,rep2
AT1G79600.1,0.005884241,k1,rep2
AT3G07700.1,0.001069862,k1,rep2
AT2G42130.3,0.011233551,k1,rep2
AT4G38970.1,0.071306301,k1,rep2
AT3G43540.1,0.005884241,k1,rep2
AT2G35490.1,0.029956136,k1,rep2
AT3G58010.1,0.011768482,k1,rep2
AT4G13200.1,0.033700653,k1,rep2
AT4G22240.1,0.087835669,k1,rep2
AT4G04020.1,0.170054563,k1,rep2
AT3G23400.1,0.214507329,k1,rep2
AT2G41040.1,0.02139724,k1,rep2
AT4G32770.1,0.023002033,k1,rep2
AT1G32220.1,0.009628758,k1,rep2
AT5G05200.1,0.066331443,k1,rep2
AT4G19170.1,0.07007596,k1,rep2
AT3G24190.1,0.0,k6,rep1
AT1G71810.1,0.014858841,k6,rep1
AT4G31390.1,0.045402014,k6,rep1
AT3G10130.1,0.017335315,k6,rep1
AT3G27110.1,0.003301965,k6,rep1
AT5G08740.1,0.042925541,k6,rep1
AT2G34460.1,0.009905894,k6,rep1
AT2G46910.1,0.010731385,k6,rep1
AT1G78140.1,0.012382368,k6,rep1
AT1G54570.1,0.029717682,k6,rep1
AT1G06690.1,0.008254912,k6,rep1
AT5G41120.1,0.004127456,k6,rep1
AT1G28150.1,0.001650982,k6,rep1
AT3G26840.1,0.01403335,k6,rep1
AT1G79600.1,0.028892191,k6,rep1
AT3G07700.1,0.007429421,k6,rep1
AT2G42130.3,0.028892191,k6,rep1
AT4G38970.1,0.114247978,k6,rep1
AT3G43540.1,0.005778438,k6,rep1
AT2G35490.1,0.068515767,k6,rep1
AT3G58010.1,0.018986297,k6,rep1
AT4G13200.1,0.028892191,k6,rep1
AT4G22240.1,0.09154697,k6,rep1
AT4G04020.1,0.100792472,k6,rep1
AT3G23400.1,0.119696219,k6,rep1
AT2G41040.1,0.01403335,k6,rep1
AT4G32770.1,0.026415717,k6,rep1
AT1G32220.1,0.018160806,k6,rep1
AT5G05200.1,0.055307908,k6,rep1
AT4G19170.1,0.057784382,k6,rep1
AT3G24190.1,0.0,k6,rep2
AT1G71810.1,0.019692423,k6,rep2
AT4G31390.1,0.036571643,k6,rep2
AT3G10130.1,0.017816954,k6,rep2
AT3G27110.1,0.00843961,k6,rep2
AT5G08740.1,0.04219805,k6,rep2
AT2G34460.1,0.023443361,k6,rep2
AT2G46910.1,0.00843961,k6,rep2
AT1G78140.1,0.018754689,k6,rep2
AT1G54570.1,0.027194299,k6,rep2
AT1G06690.1,0.007501875,k6,rep2
AT5G41120.1,0.003750938,k6,rep2
AT1G28150.1,0.002813203,k6,rep2
AT3G26840.1,0.013128282,k6,rep2
AT1G79600.1,0.030945236,k6,rep2
AT3G07700.1,0.003750938,k6,rep2
AT2G42130.3,0.009377344,k6,rep2
AT4G38970.1,0.129782446,k6,rep2
AT3G43540.1,0.00843961,k6,rep2
AT2G35490.1,0.037509377,k6,rep2
AT3G58010.1,0.006564141,k6,rep2
AT4G13200.1,0.036571643,k6,rep2
AT4G22240.1,0.085333833,k6,rep2
AT4G04020.1,0.091897974,k6,rep2
AT3G23400.1,0.135033758,k6,rep2
AT2G41040.1,0.031882971,k6,rep2
AT4G32770.1,0.02531883,k6,rep2
AT1G32220.1,0.014066017,k6,rep2
AT5G05200.1,0.062828207,k6,rep2
AT4G19170.1,0.060952738,k6,rep2
