Tissue,AT1G11390,AT1G61640,AT1G65950,AT1G71810,AT1G79600,AT2G39190,AT2G40090,AT3G07700,AT3G24190,AT4G01660,AT4G24810,AT4G31390,AT5G05200,AT5G24810,AT5G24970,AT5G50330,AT5G64940
root differentiation zone,0.7051924854037457,0.0,0.0,0.0,0.4413506645705264,0.0,0.5855807078398778,0.0,0.0,1.0,0.0,0.614187841925876,0.6753132398340248,0.7172237026419652,0.0,0.5334718697430371,0.6827009954175289
root tip,0.8325108566255611,0.5549378108975462,0.0,0.0,0.6931237759508377,0.0,0.7922418806984513,0.0,0.6443148136697349,1.0,0.0,0.6496042072603772,0.8013728382047277,0.7996410436520733,0.48179924404696395,0.6787205944767694,0.7151987525986052
seed imbibition stage,0.7237629937903631,0.0,0.0,0.8725251090517839,0.8706349829608192,0.0,0.7968116742525745,1.0,0.0,0.9130260812798707,0.0,0.8726455448402465,0.8235286792114674,0.7701084222134426,0.8381242035043888,0.0,0.6078255886332488
seedling hypocotyl,0.7829405485484481,0.0,0.0,0.9312280416652913,0.9380921731903769,0.8103678840983836,0.7949943024728177,0.7951735195674584,0.8838877193541402,0.9735069248486673,0.767613852197203,1.0,0.9854524200565182,0.8546783559105299,0.6430257622491746,0.6175980952063553,0.9320975019614408
sepal,0.6998966938262757,0.0,0.0,0.8567990066563778,1.0,0.6540152383217981,0.8278222039070268,0.9893363751451244,0.8882396724387636,0.8649795285343487,0.7977653842140364,0.9874699576298049,0.9654544922214332,0.8677196262472555,0.5004609763837145,0.6296081630407342,0.851008595933645
shoot axis internode,0.6554610917639856,0.0,0.0,0.8959592002834543,0.9292054116992728,0.6194913367419239,0.8029942911415129,0.940034083064455,0.8153604000525478,0.9122491359640993,0.8442176359385162,1.0,0.9800077537344487,0.8476108413445944,0.5428635565197376,0.0,0.9207216439211197
shoot axis node,0.0,0.0,0.0,0.8302770785081369,0.9064777261725332,0.0,0.7982870902587673,0.9075549099729632,0.7260137634173557,0.9236047653779696,0.794483593719782,1.0,0.9446534250459281,0.8934654383467073,0.0,0.0,0.9276982723743016
shoot system meristem,0.6577164916585472,0.0,0.0,0.9122384751250919,0.9118171479958327,0.8522407006542313,0.7877571557928099,0.804843840125575,0.8735742527213496,0.852259137312461,0.8304312582648228,0.9833923608359032,0.9209934183177144,0.7687670982762038,0.531386778273144,0.0,1.0
stamen,0.8101339771429822,0.0,0.0,0.7676773090744055,0.8902604895506724,0.0,0.7912414365184354,0.9543593524131736,0.7456068968899032,1.0,0.6516021547169155,0.9198981917502266,0.8489257682798639,0.8924330496326124,0.648991460446597,0.6672369267985434,0.8262168864698441
vascular leaf senescence stage,0.6910610029967341,0.0,0.0,0.8805188798016155,0.9217035710328597,0.5838867793488837,0.7863354917380402,0.9484080041127116,0.8162374365677588,0.8184905830558457,0.6413664866927519,1.0,0.9697124011982688,0.8259718031599288,0.6020665370467483,0.4931162779295858,0.8198929242409068
