AT4G24280.1	1	38	56	70.3	42.8	41.3	66.9
AT5G66570.1	1	36.1	64.9	69.6	56.4	67.4	71.6
AT3G44310.1	1	50	35	60	46	60	58
AT2G21170.1	1	40.1	75	54.7	37.2	60	70
AT3G61470.1	1	54	70	57	39	61	67
sum204	1	49	42	40	75	46	57
AT1G06950.1	1	52	93	50	50	69	29
ATCG00540.1	1	32	46	63	32	42	88
AT2G43750.1	1	42.7	52.9	65.7	36	44.4	83
sum220	1	31.3	49.6	69.1	50.8	58.4	72.7
AT2G36530.1	1	38	49	47	79	46	41
AT1G68010.1	1	48	71	67	28	53	54
AT1G20620.1	1	32.4	39.8	57.9	61.2	59.9	37.1
AT3G55800.1	1	62	69	39	36	52	35
AT3G55440.1	1	30.9	61	48.3	26.8	49	70
AT2G30860.1	1	39.5	51.6	70.4	32.6	56	56.6
AT1G20020.1	1	32	38.5	56.2	35.5	47	63.8
AT5G49910.1	1	44	51	52.7	30.2	43.7	64.1
AT5G54770.1	1	46	68	62	31	34	54
AT3G54050.1	1	45	35	46	59	30	46
AT3G59970.3	1	26	36.2	47.8	47.1	21.4	51.7
AT3G04790.1	1	34	67	40	29	49	53
AT2G37220.1	1	41	54	30	48	68	26
AT2G37660.1	1	42	55	49	32	50	42
AT4G09000.1	1	42.1	56.8	54.5	26.7	29.1	45.8
AT4G12800.1	1	24	31	51	46	55	70
sum70	1	28.8	41.2	58.9	32.6	46.9	53.5
AT1G15690.1	1	36	47	49	40	44	50
AT4G32260.1	1	41	48	25	54	50	47
AT1G04410.1	1	55.6	55	39	22	33	37
AT5G20720.1	1	28	49	59	27	66	44
sum5	1	34.8	50.2	27	34.8	48	43.8
AT3G52930.1	1	26.9	53.7	39.6	20.7	35.7	52.3
sum126	1	21	18	40.1	48.9	40	35.1
AT3G63490.1	1	30	36	54	24	37	62
sum111	1	37	52	55	23	33	56
AT3G46780.1	1	28	22	42	49	43	42
AT1G10760.1	1	39	51	40	49	55	28
sum33	1	37	65	32	45	57	17.9
AT1G79550.1	1	39.1	53.4	37.6	22.3	49.5	28.6
AT1G70730.1	1	19.6	37	48.1	35.4	42.4	51.5
AT4G02510.1	1	47	62	25	37	54	27
AT4G09010.1	1	40	48	39	37	43	36
sum212	1	32	48	44	25	33	50
sum132	1	26.8	39.6	52.6	17	48.6	47
AT4G28750.1	1	28.6	37.2	24.2	46.4	56.4	53
AT3G54890.1	1	30	33	29	21	32	38
AT1G65930.1	1	34	29	46	38	28	35
AT5G13630.1	1	29	42	28	53	76	10
AT4G24190.1	1	28.7	68.6	39.9	36.6	48.8	16
AT1G09780.1	1	8.9	30.8	48.7	28	29.5	47.7
sum64	1	15.2	22.7	41.7	30.4	37.4	46.4
AT4G27440.1	1	32	36.2	45.7	18	32.4	34.9
AT4G03280.1	1	35	41	31	27	23	37
AT2G26080.1	1	36	42	29.5	54.7	43.5	20.1
AT1G78370.1	1	17	49	45	26	58	48
AT1G23740.1	1	32	40	36	13	32	33
sum35	1	19	47	33	33	43	37
AT3G52960.1	1	29	33	30	37	30	32
AT1G56190.1	1	20.8	43.8	36.9	25.6	39.2	43.2
AT1G66970.1	1	40	64.7	21	46	39.6	17.6
sum28	1	36	24	37.1	33	28	37.9
AT1G19570.1	1	22	51	39	22	52	36
sum207	1	35	49	27	61	27	14
AT3G29320.1	1	39.8	57.4	34	41.5	27.6	11
AT1G20340.1	1	32	33	20	47	54	47
AT5G61410.1	1	12	53	39	14	43	58
AT1G05190.1	1	27	43	38	25	37	39
AT2G20890.1	1	26	43	42	18	44	39
AT2G15620.1	1	17	31	32	30	39	45
sum138	1	22	22	36	32	31	34
AT3G19170.1	1	0	0	0	91	75	39
ATCG00800.1	1	17	25	41	14	41	30
AT5G51820.1	1	13	29	38	31	25	40
sum75	1	18	38.1	35.2	17.6	29.4	37.6
AT5G23120.1	1	40	39	16	20	25	19
AT1G63770.3	1	23	56	19	39	48	6
AT5G23060.1	1	22	25	32	29	21	35
AT1G11910.1	1	29	36	28	32	31	26
AT4G01310.1	1	18	33	42	17	48	28
AT5G13510.1	1	28	34	29	24	33	23
AT5G45390.1	1	19	49	37	18	32	29
AT1G48030.1	1	13	15	40	26.2	25	30
AT3G26060.1	1	22	27	20	32	28	44
AT3G52880.1	1	34	40	20	27	25	17
AT2G43030.1	1	21	34	28	18	37	35
AT2G16600.1	1	34	27.8	19	42	26	21
AT1G29900.1	1	35	59	23	39	38	13
AT4G02520.1	1	23.5	52.4	25.2	14.9	33.8	24.1
AT4G28080.1	1	34.5	27.9	16.7	43.5	53	21.1
AT3G48730.1	1	23.8	41	20.6	24.7	30.8	24.6
AT1G09620.1	1	41	63	13	44	28	1
AT4G31990.1	1	28	43.3	24.6	14	34.6	25
AT5G08280.1	1	17	45	28	12	36	30
AT1G23190.1	1	18.4	22	23.9	29.6	22.6	45.5
AT1G01320.1	1	21.4	29.1	19.3	34.5	59	19.9
AT3G08590.1	1	16.1	28.2	25.3	29	11.5	35.3
AT5G60600.1	1	15	23	35	24	34	34
sum19	1	19	31	29	12.9	28	30
AT1G72370.1	1	26	31	24	12	27	26
AT3G17390.1	1	23.6	16.8	32.5	16.9	21.7	32.8
AT1G78630.1	1	18	26	21	22	24	29
AT3G47520.1	1	18.7	25.4	19	19.2	18.7	39.3
AT1G78380.1	1	14	30	33	12	40	31
AT3G09820.1	1	37.5	42.7	13.8	14.6	27.7	19.6
AT3G44890.1	1	15	31	31	25	22	34
AT5G14040.1	1	20	31	26	25	28	30
AT2G47730.1	1	23.5	42.1	26	18.1	37.2	19.9
sum208	1	21	38	27	14	30	14
AT4G22890.1	1	24	29	26	21	34	31
AT3G25530.1	1	22	34	23	14	25	28
AT1G72150.1	1	16.1	43	18	19.1	28.3	11
AT4G09320.1	1	19	26	26	21	26	29
sum95	1	17.6	23.6	22	19	21.2	17
sum201	1	15	15	44.1	0	21	41
AT5G53460.1	1	22	59	3	34	54	4
AT3G23990.1	1	11.1	20.5	31.6	22.7	23.2	29.9
AT5G38480.1	1	24.9	35.2	24.6	20	18.8	25
AT5G11670.1	1	13	23	34	12	18	25
AT1G18080.1	1	21	24.5	28.3	16	21	26.2
AT1G43670.1	1	26	31	19	21	22	22
AT1G32990.1	1	20	25	21	28	25	30
AT2G30870.1	1	23.5	25.4	22.6	15.4	34	28.4
AT5G30510.1	1	23	20	30	13	20	18
AT4G27520.1	1	26	30	16	28	23	19
AT3G16240.1	1	21	22	21	25	22	22
AT4G37910.1	1	24.6	29	31.2	23.3	25.2	22.3
AT2G01250.1	1	13.7	18.9	36.7	10.6	40.9	19.5
AT5G20290.1	1	27	29	27	13	17	31
AT3G11940.1	1	15	33.2	32	17.2	31	23
AT5G26742.1	1	13	13	31	19	32	31
AT1G59870.1	1	17	36	17	30	41	15
AT4G13930.1	1	17	16	21	24	21	24
AT5G13650.1	1	19	12	22	28	21	31
AT3G16640.1	1	22	34	16	22	23	17
AT1G71500.1	1	22	22	21	16	21	20
AT3G56940.1	1	21	27	21	17	26	17
AT2G24270.1	1	20	19	17	24	19	19
AT1G16880.1	1	20	20	28	20	25	22
AT4G33680.1	1	20	29	20	12	33	25
AT5G19760.1	1	23	36	27	21	21	23
sum24	1	15	12	18.9	24	41.1	35.1
AT2G21390.1	1	26	27	17	26.7	53.4	8
AT5G09650.1	1	17	32	25	12	23	26
sum17	1	17.8	11	17.1	14.5	45.9	16.4
AT3G23810.1	1	18.6	30	17.7	33.8	19.7	19.7
AT5G42650.1	1	20	17	23	22	22	16
AT1G11840.1	1	20.2	27.1	29.4	14.1	20.2	25.3
AT2G40490.1	1	21	27	23	14	21	15
AT1G03475.1	1	15	38	14	8	15	23
AT4G01800.1	1	19	48	9	27	27	6
AT4G26530.1	1	25.5	22.4	17.7	13.8	23.9	16.7
AT4G34450.1	1	16	36	14	26	41	7
sum100	1	17	15	20	22.1	24.9	23
AT4G20850.1	1	38	31	13	34	36	5
AT4G04020.1	1	20.3	31	28.3	19.4	18.4	15.2
AT1G32080.1	1	12	10	22	21	39	25
AT2G45470.1	1	19	32	21	20	32	11
AT3G02090.1	1	15	13	24	22	9	22
AT1G02560.1	1	20	23	26	14	20	28
AT3G23400.1	1	18	24	25	16	17	30
sum36	1	15	27	24	11	22	23
AT3G63140.1	1	16	28	15	10	15	16
AT2G05990.1	1	13	33	21	13	22	20
sum59	1	6	31	23	15	30	23
AT1G26630.1	1	20	30	6	13	33	12
AT2G35370.1	1	24.4	22	17.4	23.4	18.9	27
AT5G15200.1	1	16	16	32	8	25	25
AT5G10450.1	1	20.7	43.4	19.6	7	16.9	18.2
AT2G30110.1	1	24.9	42.8	7	30.8	25.8	8
AT5G63570.1	1	22.2	25	15.4	20.3	13.2	16.4
AT4G35830.1	1	13.5	39.4	10	29.4	33	8
sum60	1	24	28	10	34	35	6
AT1G16080.1	1	19	34	19	16	25	19
AT5G09810.1	1	29.1	18.5	16.2	12	16.8	13.6
AT1G78300.1	1	20.8	39.2	21.5	10.4	11.7	23
AT1G07320.1	1	17	22	30	9	18	24
AT5G04590.1	1	10	21	19	28	17	18
AT3G26520.1	1	26	19	17	23	21	17
AT1G24020.1	1	16	26	11	23	29	17
sum6	1	12.2	20	30.8	10	13	34.3
AT2G21660.1	1	15.7	30.7	10.7	25.8	19.5	22.9
