Name,STN,pVal
AT5G27770.1,-0.56,0.1111
AT5G66530.1,0.5596,0.1114
AT5G43830.1,-0.5596,0.1115
sum87,-0.5582,0.1124
AT3G56190.1,-0.5582,0.1124
AT3G46970.1,-0.5576,0.1125
AT2G21580.1,0.5578,0.1128
AT1G47128.1,-0.5569,0.1128
AT5G16130.1,-0.5546,0.1132
AT4G34870.1,0.5544,0.1135
AT5G09590.1,-0.553,0.1137
AT2G29630.1,0.5533,0.1137
ATCG00020.1,0.5509,0.1143
AT1G22410.1,0.5487,0.1146
AT1G79550.1,-0.5417,0.1161
AT1G16890.2,0.5443,0.1161
AT3G46010.1,0.5442,0.1161
AT2G17695.1,0.5416,0.1164
AT4G11600.1,-0.5416,0.1165
AT5G58070.1,-0.5416,0.1165
AT1G66670.1,-0.5391,0.1171
AT3G16470.1,0.5378,0.1176
AT1G77590.1,0.5378,0.1176
AT2G34585.1,0.5374,0.1179
AT5G63860.1,0.5374,0.1179
AT1G48850.1,0.5374,0.1179
AT4G14070.1,0.5374,0.1179
AT4G26670.1,0.5374,0.1179
AT3G01910.1,-0.5374,0.1237
ATMG00160.1,-0.5374,0.1237
AT2G42770.1,-0.5374,0.1237
AT5G38520.1,-0.5374,0.1237
AT2G38750.1,-0.5374,0.1237
sum112,-0.5374,0.1237
AT2G43945.1,-0.5374,0.1237
AT5G37830.1,-0.5374,0.1237
AT3G16460.1,-0.5374,0.1237
AT5G49760.1,-0.5374,0.1237
AT1G33680.1,-0.5374,0.1237
sum111,-0.5367,0.1237
AT2G21870.1,-0.5356,0.124
sum202,-0.5355,0.1241
AT1G29900.1,-0.5355,0.1241
AT1G04810.1,-0.5319,0.1245
sum81,0.5337,0.1246
AT1G18540.1,0.5326,0.1247
AT4G05180.1,0.5316,0.1248
AT5G53560.1,0.5314,0.1248
AT5G38480.1,-0.53,0.125
AT1G07320.1,-0.5294,0.1252
sum203,0.5284,0.1256
AT1G64190.1,0.528,0.1257
sum137,0.5271,0.1259
AT1G14850.1,0.5271,0.1259
AT4G29010.1,-0.5271,0.1288
AT1G49970.1,-0.5271,0.1288
AT5G19760.1,-0.5263,0.129
AT5G52240.1,-0.5253,0.1291
AT3G47470.1,0.5262,0.1293
AT3G61220.1,-0.5244,0.1296
sum100,0.5234,0.13
AT3G55260.1,0.5229,0.1301
AT1G26850.1,0.5229,0.1301
AT2G31790.1,0.5229,0.1301
AT5G09900.1,0.5229,0.1301
AT4G16370.1,0.5229,0.1301
sum49,0.5229,0.1301
AT4G26870.1,0.5229,0.1301
AT1G14030.1,0.5229,0.1301
AT3G21055.1,0.5229,0.1301
AT1G75690.1,0.5229,0.1301
AT5G42480.1,0.5229,0.1301
AT1G53210.1,0.5229,0.1301
AT2G13440.1,0.5229,0.1301
AT1G67140.1,0.5229,0.1301
AT2G05520.1,0.5229,0.1301
sum52,0.5229,0.1301
AT1G14830.1,0.5229,0.1301
AT5G12370.1,0.5229,0.1301
AT3G61111.1,0.5229,0.1301
AT1G26220.1,-0.5229,0.1429
AT2G37790.1,-0.5229,0.1429
AT2G30695.1,-0.5229,0.1429
AT4G35860.1,-0.5229,0.1429
AT3G51870.1,-0.5229,0.1429
AT3G63170.1,-0.5229,0.1429
AT4G38100.1,-0.5229,0.1429
AT2G32080.1,-0.5229,0.1429
AT2G42540.1,-0.5229,0.1429
AT3G20790.1,-0.5229,0.1429
AT5G53580.1,-0.5229,0.1429
AT5G55200.1,-0.5229,0.1429
AT2G30170.1,-0.5229,0.1429
AT3G07470.1,-0.5229,0.1429
AT2G02500.1,-0.5229,0.1429
AT1G61790.1,-0.5229,0.1429
AT5G20250.1,-0.5229,0.1429
AT5G55160.1,-0.5229,0.1429
AT2G44310.1,-0.5229,0.1429
AT1G77060.1,-0.5229,0.1429
AT3G51420.1,-0.5229,0.1429
AT5G44520.1,-0.5229,0.1429
AT2G43630.1,-0.5229,0.1429
sum144,-0.5229,0.1429
AT3G55620.1,-0.5229,0.1429
AT2G14750.1,-0.5229,0.1429
